Season,Rk,Squad,Country,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Top Team Scorer Goals
2023-2024,SF,Real Madrid,Spain,10.0,7.0,3.0,0.0,22.0,12.0,10.0,24.0,72017.0,Rodrygo,Andriy Lunin,5.0
2023-2024,SF,Bayern Munich,Germany,10.0,7.0,2.0,1.0,18.0,9.0,9.0,23.0,60000.0,Harry Kane,Manuel Neuer,7.0
2023-2024,SF,Dortmund,Germany,10.0,5.0,3.0,2.0,15.0,9.0,6.0,18.0,65092.0,"Marco Reus,Julian Brandt... ",Gregor Kobel,2.0
2023-2024,SF,Paris S-G,France,10.0,5.0,2.0,3.0,19.0,13.0,6.0,17.0,46736.0,Kylian Mbappé,Gianluigi Donnarumma,8.0
2023-2024,QF,Manchester City,England,10.0,8.0,2.0,0.0,28.0,13.0,15.0,26.0,40837.0,Erling Haaland,Ederson,6.0
2023-2024,QF,Atlético Madrid,Spain,10.0,6.0,2.0,2.0,23.0,13.0,10.0,20.0,64803.0,Antoine Griezmann,Jan Oblak,6.0
2023-2024,QF,Barcelona,Spain,10.0,6.0,1.0,3.0,20.0,14.0,6.0,19.0,45308.0,"Robert Lewandowski,Ferrán Torres... ",Marc-André ter Stegen,3.0
2023-2024,QF,Arsenal,England,10.0,5.0,2.0,3.0,19.0,8.0,11.0,17.0,59870.0,"Leandro Trossard,Gabriel Jesus... ",David Raya,4.0
2023-2024,R16,Porto,Portugal,8.0,5.0,0.0,3.0,16.0,9.0,7.0,15.0,47944.0,Galeno,Diogo Costa,5.0
2023-2024,R16,Inter,Italy,8.0,4.0,3.0,1.0,10.0,7.0,3.0,15.0,70279.0,"Alexis Sánchez,Marko Arnautović... ",Yann Sommer,2.0
2023-2024,R16,RB Leipzig,Germany,8.0,4.0,1.0,3.0,14.0,12.0,2.0,13.0,43949.0,Loïs Openda,Janis Blaswich,4.0
2023-2024,R16,Lazio,Italy,8.0,4.0,1.0,3.0,8.0,10.0,-2.0,13.0,47701.0,Ciro Immobile,Ivan Provedel,4.0
2023-2024,R16,Real Sociedad,Spain,8.0,3.0,3.0,2.0,8.0,6.0,2.0,12.0,36790.0,Brais Méndez,Álex Remiro,3.0
2023-2024,R16,Napoli,Italy,8.0,3.0,2.0,3.0,12.0,13.0,-1.0,11.0,45367.0,Victor Osimhen,Alex Meret,2.0
2023-2024,R16,PSV Eindhoven,The Netherlands,8.0,2.0,4.0,2.0,9.0,13.0,-4.0,10.0,34589.0,Luuk de Jong,Walter Benítez,3.0
2023-2024,R16,FC Copenhagen,Denmark,8.0,2.0,2.0,4.0,10.0,14.0,-4.0,8.0,35592.0,"Mohamed Elyounoussi,Lukas Lerager",Kamil Grabara,3.0
2023-2024,GR,Shakhtar,Ukraine,6.0,3.0,0.0,3.0,10.0,12.0,-2.0,9.0,47695.0,Danylo Sikan,Dmytro Riznyk,4.0
2023-2024,GR,Milan,Italy,6.0,2.0,2.0,2.0,5.0,8.0,-3.0,8.0,72212.0,Samuel Chukwueze,Mike Maignan,2.0
2023-2024,GR,Lens,France,6.0,2.0,2.0,2.0,6.0,11.0,-5.0,8.0,37543.0,"Angelo Fulgini,Elye Wahi",Brice Samba,2.0
2023-2024,GR,Feyenoord,The Netherlands,6.0,2.0,0.0,4.0,9.0,10.0,-1.0,6.0,44010.0,Santiago Giménez,Justin Bijlow,2.0
2023-2024,GR,Newcastle Utd,England,6.0,1.0,2.0,3.0,6.0,7.0,-1.0,5.0,52023.0,"Dan Burn,Fabian Schär... ",Nick Pope,1.0
2023-2024,GR,Galatasaray,Türkiye,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,50140.0,"Mauro Icardi,Hakim Ziyech... ",Fernando Muslera,2.0
2023-2024,GR,Manchester Utd,England,6.0,1.0,1.0,4.0,12.0,15.0,-3.0,4.0,73175.0,Rasmus Højlund,André Onana,5.0
2023-2024,GR,Benfica,Portugal,6.0,1.0,1.0,4.0,7.0,11.0,-4.0,4.0,56621.0,João Mário,Anatolii Trubin,3.0
2023-2024,GR,RB Salzburg,Austria,6.0,1.0,1.0,4.0,4.0,8.0,-4.0,4.0,28477.0,Oscar Gloukh,Alexander Schlager,2.0
2023-2024,GR,Young Boys,Switzerland,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,31500.0,Meschak Elia,Anthony Racioppi,2.0
2023-2024,GR,Braga,Portugal,6.0,1.0,1.0,4.0,6.0,12.0,-6.0,4.0,21366.0,"Bruma,Álvaro djaló",Matheus,2.0
2023-2024,GR,Celtic,Scotland,6.0,1.0,1.0,4.0,5.0,15.0,-10.0,4.0,56099.0,"Kyogo Furuhashi,Luis Enrique Palma",Joe Hart,2.0
2023-2024,GR,Antwerp,Belgium,6.0,1.0,0.0,5.0,6.0,17.0,-11.0,3.0,13570.0,"Vincent Janssen,Arbnor Muja... ",Jean Butez,1.0
2023-2024,GR,Union Berlin,Germany,6.0,0.0,2.0,4.0,6.0,10.0,-4.0,2.0,72976.0,Sheraldo Becker,Frederik Rønnow,2.0
2023-2024,GR,Sevilla,Spain,6.0,0.0,2.0,4.0,7.0,12.0,-5.0,2.0,34181.0,"Sergio Ramos,Nemanja Gudelj... ",Marko Dmitrović,2.0
2023-2024,GR,Red Star,Serbia,6.0,0.0,1.0,5.0,7.0,15.0,-8.0,1.0,46202.0,Osman Bukari,Omri Glazer,2.0
2022-2023,W,Manchester City,England,13.0,8.0,5.0,0.0,32.0,5.0,27.0,29.0,63639.0,Erling Haaland,Ederson,12.0
2022-2023,F,Inter,Italy,13.0,7.0,3.0,3.0,19.0,11.0,8.0,24.0,71415.0,Edin Džeko,André Onana,4.0
2022-2023,SF,Real Madrid,Spain,12.0,8.0,2.0,2.0,26.0,13.0,13.0,26.0,58761.0,Vinicius Júnior,Thibaut Courtois,7.0
2022-2023,SF,Milan,Italy,12.0,5.0,3.0,4.0,15.0,11.0,4.0,18.0,72546.0,Olivier Giroud,Mike Maignan,5.0
2022-2023,QF,Bayern Munich,Germany,10.0,8.0,1.0,1.0,22.0,6.0,16.0,25.0,75000.0,"Leroy Sané,Eric Maxim Choupo-Moting",Yann Sommer,4.0
2022-2023,QF,Napoli,Italy,10.0,7.0,1.0,2.0,26.0,8.0,18.0,22.0,49133.0,Victor Osimhen,Alex Meret,5.0
2022-2023,QF,Benfica,Portugal,10.0,6.0,3.0,1.0,26.0,13.0,13.0,21.0,60222.0,João Mário,Odisseas Vlachodimos,6.0
2022-2023,QF,Chelsea,England,10.0,5.0,1.0,4.0,12.0,9.0,3.0,16.0,39216.0,Raheem Sterling,Kepa Arrizabalaga,3.0
2022-2023,R16,Liverpool,England,8.0,5.0,0.0,3.0,19.0,12.0,7.0,15.0,51578.0,Mohamed Salah,Alisson,8.0
2022-2023,R16,Paris S-G,France,8.0,4.0,2.0,2.0,16.0,10.0,6.0,14.0,46680.0,Kylian Mbappé,Gianluigi Donnarumma,7.0
2022-2023,R16,Porto,Portugal,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,44296.0,Mehdi Taremi,Diogo Costa,5.0
2022-2023,R16,RB Leipzig,Germany,8.0,4.0,1.0,3.0,14.0,17.0,-3.0,13.0,44319.0,"André Silva,Christopher Nkunku",Janis Blaswich,3.0
2022-2023,R16,Dortmund,Germany,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,78516.0,Jude Bellingham,Alexander Meyer,4.0
2022-2023,R16,Tottenham,England,8.0,3.0,3.0,2.0,8.0,7.0,1.0,12.0,58434.0,"Son Heung-min,Richarlison",Hugo Lloris,2.0
2022-2023,R16,Club Brugge,Belgium,8.0,3.0,2.0,3.0,8.0,11.0,-3.0,11.0,24296.0,"Kamal Sowah,Jutglà",Simon Mignolet,2.0
2022-2023,R16,Eint Frankfurt,Germany,8.0,3.0,1.0,4.0,7.0,13.0,-6.0,10.0,49300.0,Daichi Kamada,Kevin Trapp,3.0
2022-2023,GR,Barcelona,Spain,6.0,2.0,1.0,3.0,12.0,12.0,0.0,7.0,84576.0,Robert Lewandowski,Marc-André ter Stegen,5.0
2022-2023,GR,Sporting CP,Portugal,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,39923.0,"Marcus Edwards,Arthur... ",Antonio Adán,2.0
2022-2023,GR,Marseille,France,6.0,2.0,0.0,4.0,8.0,8.0,0.0,6.0,37962.0,"Alexis Sánchez,Chancel Mbemba... ",Pau López,2.0
2022-2023,GR,Shakhtar,Ukraine,6.0,1.0,3.0,2.0,8.0,10.0,-2.0,6.0,25257.0,Mykhailo Mudryk,Anatolii Trubin,3.0
2022-2023,GR,RB Salzburg,Austria,6.0,1.0,3.0,2.0,5.0,9.0,-4.0,6.0,29301.0,Noah Okafor,Philipp Köhn,3.0
2022-2023,GR,Ajax,The Netherlands,6.0,2.0,0.0,4.0,11.0,16.0,-5.0,6.0,53028.0,Kudus Mohammed,Remko Pasveer,4.0
2022-2023,GR,Atlético Madrid,Spain,6.0,1.0,2.0,3.0,5.0,9.0,-4.0,5.0,58797.0,"Antoine Griezmann,Yannick Carrasco... ",Jan Oblak,1.0
2022-2023,GR,Leverkusen,Germany,6.0,1.0,2.0,3.0,4.0,8.0,-4.0,5.0,28748.0,Moussa Diaby,Lukáš Hrádecký,2.0
2022-2023,GR,Sevilla,Spain,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,34415.0,Youssef En-Nesyri,Yassine Bounou,2.0
2022-2023,GR,Dinamo Zagreb,Croatia,6.0,1.0,1.0,4.0,4.0,11.0,-7.0,4.0,20653.0,Mislav Oršić,Dominik Livaković,2.0
2022-2023,GR,Juventus,Italy,6.0,1.0,0.0,5.0,9.0,13.0,-4.0,3.0,34534.0,"Adrien Rabiot,Arkadiusz Milik... ",Wojciech Szczęsny,2.0
2022-2023,GR,FC Copenhagen,Denmark,6.0,0.0,3.0,3.0,1.0,12.0,-11.0,3.0,34086.0,Hákon Arnar Haraldsson,Kamil Grabara,1.0
2022-2023,GR,Maccabi Haifa,Israel,6.0,1.0,0.0,5.0,7.0,21.0,-14.0,3.0,30317.0,"Tjaronn Chery,Omer Atzili... ",Josh Cohen,2.0
2022-2023,GR,Celtic,Scotland,6.0,0.0,2.0,4.0,4.0,15.0,-11.0,2.0,57367.0,Jota,Joe Hart,2.0
2022-2023,GR,Viktoria Plzeň,Czech Republic,6.0,0.0,0.0,6.0,5.0,24.0,-19.0,0.0,11279.0,Tomáš Chorý,Jindřich Staněk,2.0
2022-2023,GR,Rangers,Scotland,6.0,0.0,0.0,6.0,2.0,22.0,-20.0,0.0,49253.0,"Scott Arfield,James Tavernier",Allan McGregor,1.0
2021-2022,W,Real Madrid,Spain,13.0,9.0,0.0,4.0,29.0,14.0,15.0,27.0,48111.0,Karim Benzema,Thibaut Courtois,15.0
2021-2022,F,Liverpool,England,13.0,10.0,1.0,2.0,30.0,14.0,16.0,31.0,64118.0,Mohamed Salah,Alisson,8.0
2021-2022,SF,Manchester City,England,12.0,7.0,2.0,3.0,29.0,16.0,13.0,23.0,49295.0,Riyad Mahrez,Ederson,7.0
2021-2022,SF,Villarreal,Spain,12.0,5.0,3.0,4.0,20.0,16.0,4.0,18.0,18610.0,Arnaut Danjuma,Gerónimo Rulli,6.0
2021-2022,QF,Bayern Munich,Germany,10.0,7.0,2.0,1.0,31.0,7.0,24.0,23.0,34000.0,Robert Lewandowski,Manuel Neuer,13.0
2021-2022,QF,Chelsea,England,10.0,7.0,1.0,2.0,21.0,10.0,11.0,22.0,39076.0,Timo Werner,Edouard Mendy,4.0
2021-2022,QF,Benfica,Portugal,10.0,3.0,4.0,3.0,14.0,17.0,-3.0,13.0,47128.0,Darwin Núñez,Odisseas Vlachodimos,6.0
2021-2022,QF,Atlético Madrid,Spain,10.0,3.0,3.0,4.0,9.0,10.0,-1.0,12.0,58158.0,Antoine Griezmann,Jan Oblak,4.0
2021-2022,R16,Ajax,The Netherlands,8.0,6.0,1.0,1.0,22.0,8.0,14.0,19.0,40181.0,Sébastien Haller,Remko Pasveer,11.0
2021-2022,R16,Juventus,Italy,8.0,5.0,1.0,2.0,11.0,10.0,1.0,16.0,21968.0,Paulo Dybala,Wojciech Szczęsny,3.0
2021-2022,R16,Paris S-G,France,8.0,4.0,2.0,2.0,15.0,11.0,4.0,14.0,44911.0,Kylian Mbappé,Gianluigi Donnarumma,6.0
2021-2022,R16,Inter,Italy,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,41133.0,Edin Džeko,Samir Handanović,3.0
2021-2022,R16,Manchester Utd,England,8.0,3.0,3.0,2.0,12.0,10.0,2.0,12.0,72893.0,Cristiano Ronaldo,David de Gea,6.0
2021-2022,R16,Lille,France,8.0,3.0,2.0,3.0,8.0,8.0,0.0,11.0,37824.0,"Jonathan David,Burak Yılmaz",Ivo Grbić,3.0
2021-2022,R16,RB Salzburg,Austria,8.0,3.0,2.0,3.0,10.0,14.0,-4.0,11.0,20812.0,"Karim Adeyemi,Noah Okafor",Philipp Köhn,3.0
2021-2022,R16,Sporting CP,Portugal,8.0,3.0,1.0,4.0,14.0,17.0,-3.0,10.0,37672.0,Pedro Gonçalves,Antonio Adán,4.0
2021-2022,GR,Dortmund,Germany,6.0,3.0,0.0,3.0,10.0,11.0,-1.0,9.0,31607.0,"Marco Reus,Donyell Malen... ",Gregor Kobel,3.0
2021-2022,GR,RB Leipzig,Germany,6.0,2.0,1.0,3.0,15.0,14.0,1.0,7.0,21098.0,Christopher Nkunku,Péter Gulácsi,7.0
2021-2022,GR,Sheriff Tiraspol,Moldova,6.0,2.0,1.0,3.0,7.0,11.0,-4.0,7.0,5689.0,"Adama Traoré,Sébastien Thill",Giorgos Athanasiadis,2.0
2021-2022,GR,Barcelona,Spain,6.0,2.0,1.0,3.0,2.0,9.0,-7.0,7.0,45092.0,"Gerard Piqué,Ansu Fati",Marc-André ter Stegen,1.0
2021-2022,GR,Sevilla,Spain,6.0,1.0,3.0,2.0,5.0,5.0,0.0,6.0,25468.0,Ivan Rakitić,Yassine Bounou,2.0
2021-2022,GR,Atalanta,Italy,6.0,1.0,3.0,2.0,12.0,13.0,-1.0,6.0,11556.0,Duván Zapata,Juan Musso,3.0
2021-2022,GR,Zenit,Russia,6.0,1.0,2.0,3.0,10.0,10.0,0.0,5.0,21135.0,"Claudinho,Sardar Azmoun",Stanislav Kritsyuk,2.0
2021-2022,GR,Young Boys,Switzerland,6.0,1.0,2.0,3.0,7.0,12.0,-5.0,5.0,29879.0,Jordan Pefok,"Guillaume Faivre,David von Ballmoos",2.0
2021-2022,GR,Wolfsburg,Germany,6.0,1.0,2.0,3.0,5.0,10.0,-5.0,5.0,11463.0,"Lukas Nmecha,Renato Steffen",Koen Casteels,2.0
2021-2022,GR,Porto,Portugal,6.0,1.0,2.0,3.0,4.0,11.0,-7.0,5.0,31493.0,Luis Díaz,Diogo Costa,2.0
2021-2022,GR,Milan,Italy,6.0,1.0,1.0,4.0,6.0,9.0,-3.0,4.0,43762.0,"Rafael Leão,Junior Messias... ","Mike Maignan,Ciprian Tătărușanu",1.0
2021-2022,GR,Club Brugge,Belgium,6.0,1.0,1.0,4.0,6.0,20.0,-14.0,4.0,25511.0,Hans Vanaken,Simon Mignolet,3.0
2021-2022,GR,Shakhtar,Ukraine,6.0,0.0,2.0,4.0,2.0,12.0,-10.0,2.0,22349.0,Fernando,Anatolii Trubin,2.0
2021-2022,GR,Dynamo Kyiv,Ukraine,6.0,0.0,1.0,5.0,1.0,11.0,-10.0,1.0,27256.0,Denys Harmash,Heorhiy Bushchan,1.0
2021-2022,GR,Malmö,Sweden,6.0,0.0,1.0,5.0,1.0,14.0,-13.0,1.0,13634.0,Søren Rieks,Johan Dahlin,1.0
2021-2022,GR,Beşiktaş,Türkiye,6.0,0.0,0.0,6.0,3.0,19.0,-16.0,0.0,19031.0,"Francisco Montero,Cyle Larin... ",Ersin Destanoğlu,1.0
2020-2021,W,Chelsea,England,13.0,9.0,3.0,1.0,23.0,4.0,19.0,30.0,333.0,Olivier Giroud,Edouard Mendy,6.0
2020-2021,F,Manchester City,England,13.0,11.0,1.0,1.0,25.0,5.0,20.0,34.0,2016.0,"Riyad Mahrez,Ferrán Torres",Ederson,4.0
2020-2021,QF,Porto,Portugal,10.0,6.0,1.0,3.0,15.0,9.0,6.0,19.0,490.0,Sérgio Oliveira,Agustín Marchesín,5.0
2020-2021,R16,RB Leipzig,Germany,8.0,4.0,0.0,4.0,11.0,16.0,-5.0,12.0,250.0,Angeliño,Péter Gulácsi,3.0
2020-2021,R16,Lazio,Italy,8.0,2.0,4.0,2.0,13.0,13.0,0.0,10.0,250.0,Ciro Immobile,Pepe Reina,5.0
2020-2021,GR,Manchester Utd,England,6.0,3.0,0.0,3.0,15.0,10.0,5.0,9.0,374.0,Marcus Rashford,David de Gea,6.0
2020-2021,GR,Shakhtar,Ukraine,6.0,2.0,2.0,2.0,5.0,12.0,-7.0,8.0,3393.0,Manor Solomon,Anatolii Trubin,2.0
2020-2021,GR,Inter,Italy,6.0,1.0,3.0,2.0,7.0,9.0,-2.0,6.0,333.0,Romelu Lukaku,Samir Handanović,4.0
2020-2021,GR,Krasnodar,Russia,6.0,1.0,2.0,3.0,6.0,11.0,-5.0,5.0,9948.0,Marcus Berg,Matvei Safonov,2.0
2020-2021,GR,RB Salzburg,Austria,6.0,1.0,1.0,4.0,10.0,17.0,-7.0,4.0,1000.0,Mergim Berisha,Cican Stankovic,4.0
2020-2021,GR,Dynamo Kyiv,Ukraine,6.0,1.0,1.0,4.0,4.0,13.0,-9.0,4.0,4950.0,Viktor Tsyhankov,Heorhiy Bushchan,2.0
2020-2021,GR,Loko Moscow,Russia,6.0,0.0,3.0,3.0,5.0,10.0,-5.0,3.0,7701.0,Anton Miranchuk,Guilherme Marinato,3.0
2020-2021,GR,Başakşehir,Türkiye,6.0,1.0,0.0,5.0,7.0,18.0,-11.0,3.0,233.0,İrfan Kahveci,Mert Günok,3.0
2020-2021,GR,Midtjylland,Denmark,6.0,0.0,2.0,4.0,4.0,13.0,-9.0,2.0,88.0,Alexander Scholz,Jesper Hansen,2.0
2020-2021,GR,Rennes,France,6.0,0.0,1.0,5.0,3.0,11.0,-8.0,1.0,1658.0,Serhou Guirassy,Alfred Gomis,2.0
2020-2021,GR,Zenit,Russia,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,14990.0,"Artem Dzyuba,Aleksandr Erokhin... ",Mikhail Kerzhakov,1.0
2020-2021,GR,Ferencváros,Hungary,6.0,0.0,1.0,5.0,5.0,17.0,-12.0,1.0,8234.0,Franck Boli,Dénes Dibusz,2.0
2019-2020,W,Bayern Munich,Germany,11.0,11.0,0.0,0.0,43.0,8.0,35.0,33.0,50000.0,Robert Lewandowski,Manuel Neuer,15.0
2019-2020,F,Paris S-G,France,11.0,8.0,1.0,2.0,25.0,6.0,19.0,25.0,28058.0,"Mauro Icardi,Kylian Mbappé",Keylor Navas,5.0
2019-2020,SF,RB Leipzig,Germany,10.0,6.0,2.0,2.0,16.0,12.0,4.0,20.0,32347.0,"Timo Werner,Marcel Sabitzer... ",Péter Gulácsi,4.0
2019-2020,SF,Lyon,France,10.0,4.0,2.0,4.0,14.0,14.0,0.0,14.0,41780.0,Memphis,Anthony Lopes,6.0
2019-2020,QF,Manchester City,England,9.0,6.0,2.0,1.0,21.0,9.0,12.0,20.0,37594.0,"Raheem Sterling,Gabriel Jesus",Ederson,6.0
2019-2020,QF,Barcelona,Spain,9.0,5.0,3.0,1.0,15.0,14.0,1.0,18.0,60809.0,Luis Suárez,Marc-André ter Stegen,5.0
2019-2020,QF,Atlético Madrid,Spain,9.0,5.0,1.0,3.0,13.0,9.0,4.0,16.0,62232.0,"Álvaro Morata,João Félix",Jan Oblak,3.0
2019-2020,QF,Atalanta,Italy,9.0,4.0,1.0,4.0,17.0,18.0,-1.0,13.0,32770.0,Josip Iličić,Pierluigi Gollini,5.0
2019-2020,R16,Juventus,Italy,8.0,6.0,1.0,1.0,14.0,6.0,8.0,19.0,28390.0,Cristiano Ronaldo,Wojciech Szczęsny,4.0
2019-2020,R16,Napoli,Italy,8.0,3.0,4.0,1.0,13.0,8.0,5.0,13.0,34598.0,Dries Mertens,Alex Meret,6.0
2019-2020,R16,Liverpool,England,8.0,4.0,1.0,3.0,15.0,12.0,3.0,13.0,52312.0,Mohamed Salah,Alisson,4.0
2019-2020,R16,Dortmund,Germany,8.0,4.0,1.0,3.0,10.0,11.0,-1.0,13.0,65844.0,Achraf Hakimi,Roman Bürki,4.0
2019-2020,R16,Real Madrid,Spain,8.0,3.0,2.0,3.0,16.0,12.0,4.0,11.0,70438.0,Karim Benzema,Thibaut Courtois,5.0
2019-2020,R16,Valencia,Spain,8.0,3.0,2.0,3.0,13.0,15.0,-2.0,11.0,31599.0,"Rodrigo,Denis Cheryshev... ",Jasper Cillessen,2.0
2019-2020,R16,Chelsea,England,8.0,3.0,2.0,3.0,12.0,16.0,-4.0,11.0,38845.0,Tammy Abraham,Kepa Arrizabalaga,3.0
2019-2020,R16,Tottenham,England,8.0,3.0,1.0,4.0,18.0,18.0,0.0,10.0,57247.0,Harry Kane,"Hugo Lloris,Paulo Gazzaniga",6.0
2019-2020,GR,Ajax,The Netherlands,6.0,3.0,1.0,2.0,12.0,6.0,6.0,10.0,51951.0,Quincy Promes,André Onana,4.0
2019-2020,GR,RB Salzburg,Austria,6.0,2.0,1.0,3.0,16.0,13.0,3.0,7.0,29520.0,Erling Haaland,Cican Stankovic,8.0
