Season,Rk,Squad,Country,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Top Team Scorer Goals
2019-2020,GR,Inter,Italy,6.0,2.0,1.0,3.0,10.0,9.0,1.0,7.0,62540.0,Lautaro Martínez,Samir Handanović,5.0
2019-2020,GR,Benfica,Portugal,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,46576.0,Pizzi,Odisseas Vlachodimos,3.0
2019-2020,GR,Zenit,Russia,6.0,2.0,1.0,3.0,7.0,9.0,-2.0,7.0,51106.0,"Sardar Azmoun,Artem Dzyuba",Mikhail Kerzhakov,2.0
2019-2020,GR,Leverkusen,Germany,6.0,2.0,0.0,4.0,5.0,9.0,-4.0,6.0,28098.0,"Sven Bender,Kevin Volland",Lukáš Hrádecký,1.0
2019-2020,GR,Shakhtar,Ukraine,6.0,1.0,3.0,2.0,8.0,13.0,-5.0,6.0,28246.0,"Júnior Moraes,Manor Solomon",Andriy Pyatov,2.0
2019-2020,GR,Dinamo Zagreb,Croatia,6.0,1.0,2.0,3.0,10.0,13.0,-3.0,5.0,28855.0,Mislav Oršić,Dominik Livaković,4.0
2019-2020,GR,Olympiacos,Greece,6.0,1.0,1.0,4.0,8.0,14.0,-6.0,4.0,31523.0,Youssef El-Arabi,José Sá,3.0
2019-2020,GR,Loko Moscow,Russia,6.0,1.0,0.0,5.0,4.0,11.0,-7.0,3.0,26557.0,Aleksei Miranchuk,Guilherme Marinato,2.0
2019-2020,GR,Club Brugge,Belgium,6.0,0.0,3.0,3.0,4.0,12.0,-8.0,3.0,26957.0,Emmanuel Dennis,Simon Mignolet,2.0
2019-2020,GR,Red Star,Serbia,6.0,1.0,0.0,5.0,3.0,20.0,-17.0,3.0,43263.0,"Richmond Boakye,Nemanja Milunović... ",Milan Borjan,1.0
2019-2020,GR,Slavia Prague,Czech Republic,6.0,0.0,2.0,4.0,4.0,10.0,-6.0,2.0,19303.0,Tomáš Souček,Ondřej Kolář,2.0
2019-2020,GR,Galatasaray,Türkiye,6.0,0.0,2.0,4.0,1.0,14.0,-13.0,2.0,43306.0,Adem Büyük,Fernando Muslera,1.0
2019-2020,GR,Lille,France,6.0,0.0,1.0,5.0,4.0,14.0,-10.0,1.0,48208.0,Victor Osimhen,Mike Maignan,2.0
2019-2020,GR,Genk,Belgium,6.0,0.0,1.0,5.0,5.0,20.0,-15.0,1.0,18957.0,Mbwana Samatta,Gaëtan Coucke,3.0
2018-2019,W,Liverpool,England,13.0,8.0,1.0,4.0,24.0,12.0,12.0,25.0,52907.0,Mohamed Salah,Alisson,5.0
2018-2019,F,Tottenham,England,13.0,6.0,2.0,5.0,20.0,19.0,1.0,20.0,62947.0,"Harry Kane,Lucas Moura",Hugo Lloris,5.0
2018-2019,SF,Barcelona,Spain,12.0,8.0,3.0,1.0,26.0,10.0,16.0,27.0,86178.0,Lionel Messi,Marc-André ter Stegen,12.0
2018-2019,SF,Ajax,The Netherlands,12.0,6.0,4.0,2.0,22.0,13.0,9.0,22.0,52056.0,Dušan Tadić,André Onana,6.0
2018-2019,QF,Manchester City,England,10.0,7.0,1.0,2.0,30.0,12.0,18.0,22.0,49535.0,Sergio Agüero,Ederson,6.0
2018-2019,QF,Porto,Portugal,10.0,6.0,1.0,3.0,20.0,15.0,5.0,19.0,43415.0,Moussa Marega,Iker Casillas,6.0
2018-2019,QF,Juventus,Italy,10.0,5.0,1.0,4.0,14.0,9.0,5.0,16.0,40766.0,Cristiano Ronaldo,Wojciech Szczęsny,6.0
2018-2019,QF,Manchester Utd,England,10.0,4.0,1.0,5.0,10.0,11.0,-1.0,13.0,73708.0,"Romelu Lukaku,Paul Pogba... ",David de Gea,2.0
2018-2019,R16,Atlético Madrid,Spain,8.0,5.0,1.0,2.0,11.0,9.0,2.0,16.0,60068.0,Antoine Griezmann,Jan Oblak,4.0
2018-2019,R16,Bayern Munich,Germany,8.0,4.0,3.0,1.0,16.0,8.0,8.0,15.0,69536.0,Robert Lewandowski,Manuel Neuer,8.0
2018-2019,R16,Real Madrid,Spain,8.0,5.0,0.0,3.0,15.0,10.0,5.0,15.0,66314.0,Karim Benzema,Thibaut Courtois,4.0
2018-2019,R16,Paris S-G,France,8.0,4.0,2.0,2.0,20.0,12.0,8.0,14.0,45144.0,Neymar,Gianluigi Buffon,5.0
2018-2019,R16,Dortmund,Germany,8.0,4.0,1.0,3.0,10.0,6.0,4.0,13.0,66099.0,Raphaël Guerreiro,Roman Bürki,4.0
2018-2019,R16,Roma,Italy,8.0,4.0,0.0,4.0,14.0,12.0,2.0,12.0,49525.0,Edin Džeko,Robin Olsen,5.0
2018-2019,R16,Schalke 04,Germany,8.0,3.0,2.0,3.0,8.0,14.0,-6.0,11.0,50949.0,Nabil Bentaleb,Ralf Fährmann,3.0
2018-2019,R16,Lyon,France,8.0,1.0,6.0,1.0,13.0,16.0,-3.0,9.0,41945.0,"Nabil Fekir,Maxwel Cornet",Anthony Lopes,3.0
2018-2019,GR,Napoli,Italy,6.0,2.0,3.0,1.0,7.0,5.0,2.0,9.0,45672.0,"Lorenzo Insigne,Dries Mertens",David Ospina,3.0
2018-2019,GR,Valencia,Spain,6.0,2.0,2.0,2.0,6.0,6.0,0.0,8.0,39697.0,"Santi Mina,Carlos Soler",Neto,2.0
2018-2019,GR,Inter,Italy,6.0,2.0,2.0,2.0,6.0,7.0,-1.0,8.0,65857.0,Mauro Icardi,Samir Handanović,4.0
2018-2019,GR,CSKA Moscow,Russia,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,63052.0,Nikola Vlašić,Igor Akinfeev,3.0
2018-2019,GR,Benfica,Portugal,6.0,2.0,1.0,3.0,6.0,11.0,-5.0,7.0,48412.0,Álex Grimaldo,Odisseas Vlachodimos,2.0
2018-2019,GR,Viktoria Plzeň,Czech Republic,6.0,2.0,1.0,3.0,7.0,16.0,-9.0,7.0,11337.0,Michal Krmenčík,Aleš Hruška,2.0
2018-2019,GR,Club Brugge,Belgium,6.0,1.0,3.0,2.0,6.0,5.0,1.0,6.0,24928.0,"Hans Vanaken,Wesley Moraes","Ethan Horvath,Karlo Letica",2.0
2018-2019,GR,Shakhtar,Ukraine,6.0,1.0,3.0,2.0,8.0,16.0,-8.0,6.0,34786.0,Júnior Moraes,Andriy Pyatov,3.0
2018-2019,GR,Galatasaray,Türkiye,6.0,1.0,1.0,4.0,5.0,8.0,-3.0,4.0,41394.0,Eren Derdiyok,Fernando Muslera,2.0
2018-2019,GR,Young Boys,Switzerland,6.0,1.0,1.0,4.0,4.0,12.0,-8.0,4.0,30785.0,Guillaume Hoarau,David von Ballmoos,3.0
2018-2019,GR,Red Star,Serbia,6.0,1.0,1.0,4.0,5.0,17.0,-12.0,4.0,49596.0,Milan Pavkov,Milan Borjan,2.0
2018-2019,GR,Hoffenheim,Germany,6.0,0.0,3.0,3.0,11.0,14.0,-3.0,3.0,23972.0,Andrej Kramarić,Oliver Baumann,5.0
2018-2019,GR,Loko Moscow,Russia,6.0,1.0,0.0,5.0,4.0,12.0,-8.0,3.0,17181.0,"Vladislav Ignatyev,Anton Miranchuk... ",Guilherme Marinato,1.0
2018-2019,GR,PSV Eindhoven,The Netherlands,6.0,0.0,2.0,4.0,6.0,13.0,-7.0,2.0,34783.0,Luuk de Jong,Jeroen Zoet,3.0
2018-2019,GR,Monaco,France,6.0,0.0,1.0,5.0,2.0,14.0,-12.0,1.0,9218.0,"Samuel Grandsir,Moussa Sylla",Diego Benaglio,1.0
2018-2019,GR,AEK Athens,Greece,6.0,0.0,0.0,6.0,2.0,13.0,-11.0,0.0,39377.0,Viktor Klonaridis,Vasilios Barkas,2.0
2017-2018,W,Real Madrid,Spain,13.0,9.0,2.0,2.0,33.0,16.0,17.0,29.0,75398.0,Cristiano Ronaldo,Keylor Navas,15.0
2017-2018,F,Liverpool,England,13.0,7.0,4.0,2.0,41.0,16.0,25.0,25.0,49960.0,"Roberto Firmino,Sadio Mané... ",Loris Karius,10.0
2017-2018,SF,Bayern Munich,Germany,12.0,8.0,2.0,2.0,26.0,12.0,14.0,26.0,70000.0,Robert Lewandowski,Sven Ulreich,5.0
2017-2018,SF,Roma,Italy,12.0,6.0,2.0,4.0,21.0,19.0,2.0,20.0,48587.0,Edin Džeko,Alisson,8.0
2017-2018,QF,Barcelona,Spain,10.0,6.0,3.0,1.0,17.0,6.0,11.0,21.0,73861.0,Lionel Messi,Marc-André ter Stegen,6.0
2017-2018,QF,Manchester City,England,10.0,6.0,0.0,4.0,20.0,12.0,8.0,18.0,48050.0,"Gabriel Jesus,Raheem Sterling... ",Ederson,4.0
2017-2018,QF,Juventus,Italy,10.0,5.0,3.0,2.0,14.0,12.0,2.0,18.0,38541.0,Gonzalo Higuaín,Gianluigi Buffon,5.0
2017-2018,QF,Sevilla,Spain,10.0,3.0,5.0,2.0,15.0,15.0,0.0,14.0,38512.0,Wissam Ben Yedder,Sergio Rico,8.0
2017-2018,R16,Tottenham,England,8.0,5.0,2.0,1.0,18.0,8.0,10.0,17.0,69454.0,Harry Kane,Hugo Lloris,7.0
2017-2018,R16,Manchester Utd,England,8.0,5.0,1.0,2.0,13.0,5.0,8.0,16.0,74467.0,Romelu Lukaku,David de Gea,5.0
2017-2018,R16,Paris S-G,France,8.0,5.0,0.0,3.0,27.0,9.0,18.0,15.0,46382.0,Edinson Cavani,Alphonse Areola,7.0
2017-2018,R16,Basel,Switzerland,8.0,5.0,0.0,3.0,13.0,10.0,3.0,15.0,34854.0,Dimitri Oberlin,Tomáš Vaclík,4.0
2017-2018,R16,Shakhtar,Ukraine,8.0,5.0,0.0,3.0,11.0,11.0,0.0,15.0,33652.0,"Facundo Ferreyra,Bernard",Andriy Pyatov,3.0
2017-2018,R16,Beşiktaş,Türkiye,8.0,4.0,2.0,2.0,12.0,13.0,-1.0,14.0,37448.0,"Talisca,Cenk Tosun",Fabricio,4.0
2017-2018,R16,Chelsea,England,8.0,3.0,3.0,2.0,17.0,12.0,5.0,12.0,40218.0,"Eden Hazard,Willian",Thibaut Courtois,3.0
2017-2018,R16,Porto,Portugal,8.0,3.0,2.0,3.0,15.0,15.0,0.0,11.0,43568.0,Vincent Aboubakar,José Sá,5.0
2017-2018,GR,CSKA Moscow,Russia,6.0,3.0,0.0,3.0,8.0,10.0,-2.0,9.0,28259.0,Vitinho,Igor Akinfeev,2.0
2017-2018,GR,Atlético Madrid,Spain,6.0,1.0,4.0,1.0,5.0,4.0,1.0,7.0,57596.0,Antoine Griezmann,Jan Oblak,2.0
2017-2018,GR,RB Leipzig,Germany,6.0,2.0,1.0,3.0,10.0,11.0,-1.0,7.0,41374.0,Timo Werner,Péter Gulácsi,3.0
2017-2018,GR,Sporting CP,Portugal,6.0,2.0,1.0,3.0,8.0,9.0,-1.0,7.0,46515.0,"Bas Dost,Bruno César",Rui Patrício,2.0
2017-2018,GR,Napoli,Italy,6.0,2.0,0.0,4.0,11.0,11.0,0.0,6.0,25878.0,Lorenzo Insigne,Pepe Reina,3.0
2017-2018,GR,Spartak Moscow,Russia,6.0,1.0,3.0,2.0,9.0,13.0,-4.0,6.0,43534.0,"Quincy Promes,Zé Luís",Aleksandr Selikhov,2.0
2017-2018,GR,Feyenoord,The Netherlands,6.0,1.0,0.0,5.0,5.0,14.0,-9.0,3.0,41167.0,Nicolai Jørgensen,Brad Jones,2.0
2017-2018,GR,Celtic,Scotland,6.0,1.0,0.0,5.0,5.0,18.0,-13.0,3.0,57921.0,"Scott Sinclair,Callum McGregor... ",Craig Gordon,1.0
2017-2018,GR,NK Maribor,Slovenia,6.0,0.0,3.0,3.0,3.0,16.0,-13.0,3.0,12349.0,"Damjan Bohar,Marcos Tavares... ",Jasmin Handanović,1.0
2017-2018,GR,Anderlecht,Belgium,6.0,1.0,0.0,5.0,2.0,17.0,-15.0,3.0,19586.0,Sofiane Hanni,"Frank Boeckx,Matz Sels",1.0
2017-2018,GR,Dortmund,Germany,6.0,0.0,2.0,4.0,7.0,13.0,-6.0,2.0,65402.0,Pierre-Emerick Aubameyang,Roman Bürki,4.0
2017-2018,GR,Monaco,France,6.0,0.0,2.0,4.0,6.0,16.0,-10.0,2.0,9378.0,Radamel Falcao,"Danijel Subašić,Diego Benaglio",3.0
2017-2018,GR,Qarabağ FK,Azerbaijan,6.0,0.0,2.0,4.0,2.0,14.0,-12.0,2.0,60741.0,"Míchel,Pedro Henrique",Ibrahim Šehić,1.0
2017-2018,GR,APOEL FC,Cyprus,6.0,0.0,2.0,4.0,2.0,17.0,-15.0,2.0,17211.0,Mickaël Poté,Nauzet Pérez,2.0
2017-2018,GR,Olympiacos,Greece,6.0,0.0,1.0,5.0,4.0,13.0,-9.0,1.0,30445.0,Felipe Pardo,Silvio Proto,2.0
2017-2018,GR,Benfica,Portugal,6.0,0.0,0.0,6.0,1.0,14.0,-13.0,0.0,39492.0,Haris Seferović,Mile Svilar,1.0
2016-2017,W,Real Madrid,Spain,13.0,9.0,3.0,1.0,35.0,18.0,17.0,30.0,75547.0,Cristiano Ronaldo,Keylor Navas,12.0
2016-2017,F,Juventus,Italy,13.0,9.0,3.0,1.0,22.0,6.0,16.0,30.0,33642.0,Gonzalo Higuaín,Gianluigi Buffon,5.0
2016-2017,SF,Atlético Madrid,Spain,12.0,9.0,1.0,2.0,18.0,10.0,8.0,28.0,46751.0,Antoine Griezmann,Jan Oblak,6.0
2016-2017,SF,Monaco,France,12.0,5.0,3.0,4.0,19.0,19.0,0.0,18.0,13471.0,Kylian Mbappé,Danijel Subašić,6.0
2016-2017,QF,Barcelona,Spain,10.0,6.0,1.0,3.0,26.0,12.0,14.0,19.0,85863.0,Lionel Messi,Marc-André ter Stegen,11.0
2016-2017,QF,Bayern Munich,Germany,10.0,6.0,0.0,4.0,27.0,14.0,13.0,18.0,70000.0,Robert Lewandowski,Manuel Neuer,8.0
2016-2017,QF,Dortmund,Germany,10.0,5.0,2.0,3.0,28.0,16.0,12.0,17.0,63698.0,Pierre-Emerick Aubameyang,Roman Bürki,7.0
2016-2017,QF,Leicester City,England,10.0,5.0,2.0,3.0,11.0,10.0,1.0,17.0,31471.0,Riyad Mahrez,Kasper Schmeichel,4.0
2016-2017,R16,Paris S-G,France,8.0,4.0,3.0,1.0,18.0,13.0,5.0,15.0,45516.0,Edinson Cavani,Alphonse Areola,8.0
2016-2017,R16,Arsenal,England,8.0,4.0,2.0,2.0,20.0,16.0,4.0,14.0,59869.0,"Mesut Özil,Theo Walcott",David Ospina,4.0
2016-2017,R16,Sevilla,Spain,8.0,4.0,2.0,2.0,9.0,6.0,3.0,14.0,37433.0,Wissam Ben Yedder,Sergio Rico,2.0
2016-2017,R16,Manchester City,England,8.0,3.0,4.0,1.0,17.0,13.0,4.0,13.0,47065.0,Sergio Agüero,Willy Caballero,5.0
2016-2017,R16,Porto,Portugal,8.0,3.0,2.0,3.0,9.0,6.0,3.0,11.0,38794.0,André Silva,Iker Casillas,4.0
2016-2017,R16,Napoli,Italy,8.0,3.0,2.0,3.0,13.0,14.0,-1.0,11.0,40054.0,Dries Mertens,Pepe Reina,5.0
2016-2017,R16,Benfica,Portugal,8.0,3.0,2.0,3.0,11.0,14.0,-3.0,11.0,51131.0,Eduardo Salvio,Ederson,3.0
2016-2017,R16,Leverkusen,Germany,8.0,2.0,4.0,2.0,11.0,11.0,0.0,10.0,25894.0,"Kevin Kampl,Kevin Volland... ",Bernd Leno,1.0
2016-2017,GR,FC Copenhagen,Denmark,6.0,2.0,3.0,1.0,7.0,2.0,5.0,9.0,30596.0,Mathias Jørgensen,Robin Olsen,2.0
2016-2017,GR,Lyon,France,6.0,2.0,2.0,2.0,5.0,3.0,2.0,8.0,50028.0,Corentin Tolisso,Anthony Lopes,2.0
2016-2017,GR,Tottenham,England,6.0,2.0,1.0,3.0,6.0,6.0,0.0,7.0,77519.0,Harry Kane,Hugo Lloris,2.0
2016-2017,GR,Beşiktaş,Türkiye,6.0,1.0,4.0,1.0,9.0,14.0,-5.0,7.0,35184.0,"Vincent Aboubakar,Ricardo Quaresma",Tolga Zengin,3.0
2016-2017,GR,Dynamo Kyiv,Ukraine,6.0,1.0,2.0,3.0,8.0,6.0,2.0,5.0,25055.0,"Derlis González,Vitaliy Buyalskyi... ",Artur Rudko,1.0
2016-2017,GR,Rostov,Russia,6.0,1.0,2.0,3.0,6.0,12.0,-6.0,5.0,14419.0,Dmitry Poloz,Soslan Dzhanayev,3.0
2016-2017,GR,M'Gladbach,Germany,6.0,1.0,2.0,3.0,5.0,12.0,-7.0,5.0,46162.0,Lars Stindl,Yann Sommer,2.0
2016-2017,GR,Legia Warsaw,Poland,6.0,1.0,1.0,4.0,9.0,24.0,-15.0,4.0,18512.0,"Aleksandar Prijović,Miroslav Radović",Arkadiusz Malarz,2.0
2016-2017,GR,Sporting CP,Portugal,6.0,1.0,0.0,5.0,5.0,8.0,-3.0,3.0,45583.0,Bruno César,Rui Patrício,2.0
2016-2017,GR,CSKA Moscow,Russia,6.0,0.0,3.0,3.0,5.0,11.0,-6.0,3.0,23147.0,Alan Dzagoev,Igor Akinfeev,2.0
2016-2017,GR,Ludogorets,Bulgaria,6.0,0.0,3.0,3.0,6.0,15.0,-9.0,3.0,22946.0,Jonathan Cafu,Vladislav Stoyanov,2.0
2016-2017,GR,Celtic,Scotland,6.0,0.0,3.0,3.0,5.0,16.0,-11.0,3.0,57781.0,Moussa Dembélé,Craig Gordon,3.0
2016-2017,GR,PSV Eindhoven,The Netherlands,6.0,0.0,2.0,4.0,4.0,11.0,-7.0,2.0,34130.0,"Davy Pröpper,Luuk de Jong... ",Jeroen Zoet,1.0
2016-2017,GR,Basel,Switzerland,6.0,0.0,2.0,4.0,3.0,12.0,-9.0,2.0,33830.0,"Seydou Doumbia,Renato Steffen... ",Tomáš Vaclík,1.0
2016-2017,GR,Club Brugge,Belgium,6.0,0.0,0.0,6.0,2.0,14.0,-12.0,0.0,21092.0,"Jelle Vossen,José Izquierdo",Ludovic Butelle,1.0
2015-2016,W,Real Madrid,Spain,13.0,9.0,3.0,1.0,28.0,6.0,22.0,30.0,72831.0,Cristiano Ronaldo,Keylor Navas,16.0
2015-2016,F,Atlético Madrid,Spain,13.0,6.0,4.0,3.0,17.0,8.0,9.0,22.0,44276.0,Antoine Griezmann,Jan Oblak,7.0
2015-2016,SF,Bayern Munich,Germany,12.0,8.0,2.0,2.0,30.0,11.0,19.0,26.0,70000.0,Robert Lewandowski,Manuel Neuer,9.0
2015-2016,SF,Manchester City,England,12.0,6.0,3.0,3.0,18.0,12.0,6.0,21.0,47779.0,"Kevin De Bruyne,Raheem Sterling",Joe Hart,3.0
2015-2016,QF,Barcelona,Spain,10.0,7.0,2.0,1.0,22.0,8.0,14.0,23.0,74651.0,Luis Suárez,Marc-André ter Stegen,8.0
2015-2016,QF,Wolfsburg,Germany,10.0,7.0,0.0,3.0,15.0,11.0,4.0,21.0,23951.0,Julian Draxler,Diego Benaglio,3.0
2015-2016,QF,Paris S-G,France,10.0,6.0,2.0,2.0,18.0,6.0,12.0,20.0,46322.0,Zlatan Ibrahimović,Kevin Trapp,5.0
2015-2016,QF,Benfica,Portugal,10.0,5.0,2.0,3.0,15.0,12.0,3.0,17.0,45581.0,Nicolás Gaitán,Júlio César,4.0
2015-2016,R16,Zenit,Russia,8.0,5.0,0.0,3.0,14.0,9.0,5.0,15.0,17575.0,Artem Dzyuba,Yuri Lodygin,6.0
2015-2016,R16,Chelsea,England,8.0,4.0,1.0,3.0,15.0,7.0,8.0,13.0,40153.0,Willian,Asmir Begović,5.0
2015-2016,R16,Dynamo Kyiv,Ukraine,8.0,3.0,3.0,2.0,9.0,7.0,2.0,12.0,41706.0,"Andriy Yarmolenko,Vitaliy Buyalskyi",Oleksandr Shovkovskiy,2.0
2015-2016,R16,Juventus,Italy,8.0,3.0,3.0,2.0,10.0,9.0,1.0,12.0,39241.0,"Álvaro Morata,Mario Mandžukić",Gianluigi Buffon,2.0
2015-2016,R16,PSV Eindhoven,The Netherlands,8.0,3.0,3.0,2.0,8.0,7.0,1.0,12.0,34810.0,"Luuk de Jong,Maxime Lestienne",Jeroen Zoet,2.0
2015-2016,R16,Gent,Belgium,8.0,3.0,1.0,4.0,10.0,11.0,-1.0,10.0,19752.0,Danijel Milićević,Matz Sels,3.0
2015-2016,R16,Arsenal,England,8.0,3.0,0.0,5.0,13.0,15.0,-2.0,9.0,57029.0,Olivier Giroud,Petr Čech,5.0
2015-2016,R16,Roma,Italy,8.0,1.0,3.0,4.0,11.0,20.0,-9.0,6.0,45324.0,"Miralem Pjanić,Edin Džeko... ",Wojciech Szczęsny,2.0
2015-2016,GR,BATE Borisov,Belarus,12.0,4.0,4.0,4.0,11.0,16.0,-5.0,16.0,12814.0,Filip Mladenović,Sergei Chernik,2.0
2015-2016,GR,FC Astana,Kazakhstan,12.0,3.0,6.0,3.0,14.0,17.0,-3.0,15.0,23861.0,Patrick Twumasi,Nenad Erić,2.0
2015-2016,GR,Dinamo Zagreb,Croatia,12.0,4.0,3.0,5.0,17.0,21.0,-4.0,15.0,17066.0,"Junior Fernándes,Josip Pivarić... ",Eduardo Carvalho,1.0
2015-2016,GR,Manchester Utd,England,8.0,4.0,2.0,2.0,14.0,8.0,6.0,14.0,75099.0,Anthony Martial,David de Gea,2.0
2015-2016,GR,Malmö,Sweden,12.0,4.0,1.0,7.0,9.0,26.0,-17.0,13.0,20500.0,Markus Rosenberg,Johan Wiland,1.0
2015-2016,GR,CSKA Moscow,Russia,10.0,3.0,2.0,5.0,14.0,16.0,-2.0,11.0,17019.0,Seydou Doumbia,Igor Akinfeev,3.0
