Season,Rk,Squad,Country,MP,W,D,L,GF,GA,GD,Pts,Attendance,Top Team Scorer,Goalkeeper,Top Team Scorer Goals
2007-2008,GR,PSV Eindhoven,The Netherlands,6.0,2.0,1.0,3.0,3.0,6.0,-3.0,7.0,34333.0,"Jefferson Farfán,Danko Lazović... ",Heurelho Gomes,1.0
2007-2008,GR,Dynamo Kyiv,Ukraine,8.0,2.0,0.0,6.0,8.0,19.0,-11.0,6.0,32667.0,Ismaël Bangoura,Oleksandr Shovkovskiy,2.0
2007-2008,GR,Stuttgart,Germany,6.0,1.0,0.0,5.0,7.0,15.0,-8.0,3.0,51300.0,Mario Gómez,Raphael Schäfer,3.0
2007-2008,GR,CSKA Moscow,Russia,6.0,0.0,1.0,5.0,7.0,14.0,-7.0,1.0,24667.0,Vágner Love,"Igor Akinfeev,Veniamin Mandrykin",3.0
2006-2007,W,Milan,Italy,15.0,9.0,4.0,3.0,23.0,11.0,12.0,31.0,55496.0,Kaká,Dida,10.0
2006-2007,F,Liverpool,England,15.0,9.0,3.0,4.0,22.0,12.0,10.0,30.0,50527.0,Peter Crouch,Pepe Reina,6.0
2006-2007,SF,Manchester Utd,England,12.0,8.0,0.0,4.0,23.0,13.0,10.0,24.0,74081.0,Wayne Rooney,Edwin van der Sar,4.0
2006-2007,SF,Chelsea,England,12.0,7.0,3.0,2.0,17.0,9.0,8.0,24.0,37114.0,Didier Drogba,Petr Čech,6.0
2006-2007,QF,Valencia,Spain,12.0,5.0,4.0,3.0,19.0,12.0,7.0,19.0,41708.0,Fernando Morientes,Santiago Cañizares,6.0
2006-2007,QF,Roma,Italy,10.0,5.0,2.0,3.0,13.0,12.0,1.0,17.0,48032.0,Francesco Totti,Doni,4.0
2006-2007,QF,Bayern Munich,Germany,10.0,4.0,4.0,2.0,16.0,11.0,5.0,16.0,65400.0,Claudio Pizarro,Oliver Kahn,4.0
2006-2007,QF,PSV Eindhoven,The Netherlands,10.0,4.0,2.0,4.0,8.0,11.0,-3.0,14.0,33340.0,"Alex,Arouna Koné",Heurelho Gomes,2.0
2006-2007,R16,Arsenal,England,10.0,5.0,3.0,2.0,13.0,6.0,7.0,18.0,59975.0,"Emmanuel Eboué,Júlio Baptista... ",Jens Lehmann,1.0
2006-2007,R16,Lyon,France,8.0,4.0,3.0,1.0,12.0,5.0,7.0,15.0,39786.0,"Karim Benzema,Fred... ",Grégory Coupet,2.0
2006-2007,R16,Lille,France,10.0,4.0,3.0,3.0,12.0,7.0,5.0,15.0,36512.0,"Nicolas Fauvergue,Peter Odemwingie",Tony Sylva,2.0
2006-2007,R16,Barcelona,Spain,8.0,4.0,2.0,2.0,14.0,6.0,8.0,14.0,85626.0,Eiður Guðjohnsen,Víctor Valdés,3.0
2006-2007,R16,Real Madrid,Spain,8.0,4.0,2.0,2.0,18.0,12.0,6.0,14.0,71854.0,Ruud van Nistelrooy,Iker Casillas,6.0
2006-2007,R16,Porto,Portugal,8.0,3.0,3.0,2.0,11.0,7.0,4.0,12.0,41014.0,"Lucho González,Lisandro López",Helton Arruda,3.0
2006-2007,R16,Inter,Italy,8.0,3.0,3.0,2.0,7.0,7.0,0.0,12.0,29487.0,Julio Ricardo Cruz,Júlio César,3.0
2006-2007,R16,Celtic,Scotland,8.0,3.0,1.0,4.0,8.0,10.0,-2.0,10.0,58832.0,Kenny Miller,Artur Boruc,3.0
2006-2007,GR,Steaua,Romania,10.0,4.0,3.0,3.0,16.0,14.0,2.0,15.0,24155.0,Nicolae Dică,"Carlos Fernandes,Cornel Cernea",4.0
2006-2007,GR,CSKA Moscow,Russia,8.0,4.0,2.0,2.0,9.0,5.0,4.0,14.0,24551.0,"Daniel Carvalho,Ivica Olić... ",Igor Akinfeev,1.0
2006-2007,GR,AEK Athens,Greece,8.0,4.0,2.0,2.0,11.0,10.0,1.0,14.0,40990.0,Júlio César,Stefano Sorrentino,2.0
2006-2007,GR,FC Copenhagen,Denmark,10.0,4.0,2.0,4.0,12.0,12.0,0.0,14.0,39680.0,Marcus Allbäck,Jesper Christiansen,3.0
2006-2007,GR,Dynamo Kyiv,Ukraine,10.0,3.0,3.0,4.0,18.0,20.0,-2.0,12.0,36667.0,Maksim Shatskikh,Oleksandr Shovkovskiy,2.0
2006-2007,GR,Shakhtar,Ukraine,8.0,3.0,3.0,2.0,10.0,13.0,-3.0,12.0,25400.0,"Ciprian Marica,Matuzalém",Bohdan Shust,2.0
2006-2007,GR,Benfica,Portugal,8.0,3.0,2.0,3.0,11.0,9.0,2.0,11.0,45918.0,Fabrizio Miccoli,Quim,2.0
2006-2007,GR,Spartak Moscow,Russia,10.0,2.0,5.0,3.0,10.0,13.0,-3.0,11.0,35333.0,"Maksym Kalynychenko,Denis Boyarintsev... ",Wojciech Kowalewski,2.0
2006-2007,GR,Werr Bremen,Germany,6.0,3.0,1.0,2.0,7.0,5.0,2.0,10.0,36885.0,"Torsten Frings,Frank Baumann... ",Tim Wiese,1.0
2006-2007,GR,Levski Sofia,Bulgaria,10.0,3.0,1.0,6.0,9.0,19.0,-10.0,10.0,36504.0,Mariyan Ognyanov,Georgi Petkov,1.0
2006-2007,GR,Galatasaray,Türkiye,8.0,2.0,2.0,4.0,13.0,15.0,-2.0,8.0,48018.0,"Saša Ilić,Ümit Karan",Faryd Mondragón,2.0
2006-2007,GR,Bordeaux,France,6.0,2.0,1.0,3.0,6.0,7.0,-1.0,7.0,25964.0,Julien Faubert,Ulrich Ramé,2.0
2006-2007,GR,Sporting CP,Portugal,6.0,1.0,2.0,3.0,3.0,6.0,-3.0,5.0,29239.0,"Carlos Bueno,Marco Caneira... ",Ricardo,1.0
2006-2007,GR,Hamburger SV,Germany,8.0,1.0,2.0,5.0,8.0,16.0,-8.0,5.0,48999.0,Rafael van der Vaart,Stefan Wächter,3.0
2006-2007,GR,Anderlecht,Belgium,6.0,0.0,4.0,2.0,7.0,11.0,-4.0,4.0,21027.0,"Nicolás Frutos,Mbo Mpenza",Daniel Zítka,2.0
2006-2007,GR,Olympiacos,Greece,6.0,0.0,3.0,3.0,6.0,11.0,-5.0,3.0,31101.0,Nery Castillo,Antonios Nikopolidis,3.0
2005-2006,W,Barcelona,Spain,13.0,9.0,5.0,0.0,24.0,5.0,19.0,32.0,88420.0,Ronaldinho,Víctor Valdés,7.0
2005-2006,F,Arsenal,England,13.0,8.0,5.0,1.0,15.0,4.0,11.0,29.0,45212.0,Thierry Henry,Jens Lehmann,5.0
2005-2006,SF,Villarreal,Spain,14.0,5.0,7.0,2.0,12.0,9.0,3.0,22.0,22917.0,Diego Forlán,Sebastián Viera,3.0
2005-2006,SF,Milan,Italy,12.0,5.0,5.0,2.0,20.0,10.0,10.0,20.0,59211.0,Andriy Shevchenko,Dida,9.0
2005-2006,QF,Inter,Italy,12.0,7.0,3.0,2.0,17.0,9.0,8.0,24.0,23000.0,Adriano,"Júlio César,Francesco Toldo",5.0
2005-2006,QF,Lyon,France,10.0,7.0,2.0,1.0,19.0,7.0,12.0,23.0,39437.0,"Juninho Pernambucano,John Carew",Grégory Coupet,3.0
2005-2006,QF,Juventus,Italy,10.0,6.0,1.0,3.0,16.0,11.0,5.0,19.0,25416.0,David Trezeguet,Christian Abbiati,6.0
2005-2006,QF,Benfica,Portugal,10.0,4.0,3.0,3.0,8.0,7.0,1.0,15.0,54237.0,"Fabrizio Miccoli,Simão Sabrosa",Marcelo Moretto,2.0
2005-2006,R16,Liverpool,England,14.0,8.0,3.0,3.0,20.0,7.0,13.0,27.0,42543.0,"Luis García,Djibril Cissé",Pepe Reina,2.0
2005-2006,R16,Ajax,The Netherlands,10.0,4.0,4.0,2.0,17.0,12.0,5.0,16.0,46631.0,"Yannis Anastasiou,Nigel de Jong",Maarten Stekelenburg,3.0
2005-2006,R16,Rangers,Scotland,10.0,3.0,6.0,1.0,14.0,11.0,3.0,15.0,49040.0,Peter Løvenkrands,Ronald Waterreus,4.0
2005-2006,R16,Bayern Munich,Germany,8.0,4.0,2.0,2.0,12.0,9.0,3.0,14.0,65882.0,Sebastian Deisler,Oliver Kahn,3.0
2005-2006,R16,Werr Bremen,Germany,10.0,4.0,1.0,5.0,20.0,18.0,2.0,13.0,37919.0,Johan Micoud,Andreas Reinke,4.0
2005-2006,R16,Chelsea,England,8.0,3.0,3.0,2.0,9.0,4.0,5.0,12.0,36788.0,"Ricardo Carvalho,Frank Lampard... ",Petr Čech,2.0
2005-2006,R16,Real Madrid,Spain,8.0,3.0,2.0,3.0,10.0,9.0,1.0,11.0,69796.0,"Iván Helguera,Raúl",Iker Casillas,2.0
2005-2006,R16,PSV Eindhoven,The Netherlands,8.0,3.0,1.0,4.0,4.0,11.0,-7.0,10.0,33250.0,Jefferson Farfán,Heurelho Gomes,2.0
2005-2006,GR,Thun,Switzerland,10.0,4.0,2.0,4.0,11.0,11.0,0.0,14.0,31011.0,"Adriano Pimenta,Nelson Ferreira... ",Eldin Jakupović,1.0
2005-2006,GR,Artmedia,Slovakia,12.0,3.0,5.0,4.0,14.0,16.0,-2.0,14.0,14356.0,"Balázs Borbély,Ján Kozák",Juraj Čobej,2.0
2005-2006,GR,Udinese,Italy,8.0,4.0,1.0,3.0,14.0,14.0,0.0,13.0,28133.0,Vincenzo Iaquinta,Morgan De Sanctis,4.0
2005-2006,GR,Manchester Utd,England,8.0,3.0,3.0,2.0,9.0,4.0,5.0,12.0,64736.0,"Ryan Giggs,Paul Scholes... ",Edwin van der Sar,1.0
2005-2006,GR,Anderlecht,Belgium,10.0,4.0,0.0,6.0,10.0,10.0,0.0,12.0,21649.0,Vincent Kompany,Silvio Proto,1.0
2005-2006,GR,Betis,Spain,8.0,3.0,2.0,3.0,6.0,9.0,-3.0,11.0,37333.0,"Arzu,Daniel Martín... ",Toni Doblas,1.0
2005-2006,GR,Club Brugge,Belgium,8.0,3.0,1.0,4.0,7.0,8.0,-1.0,10.0,27753.0,"Boško Balaban,Javier Portillo",Tomislav Butina,2.0
2005-2006,GR,Rapid Wien,Austria,10.0,3.0,1.0,6.0,14.0,19.0,-5.0,10.0,44600.0,Marek Kincl,Helge Payer,2.0
2005-2006,GR,Schalke 04,Germany,6.0,2.0,2.0,2.0,12.0,9.0,3.0,8.0,53804.0,Levan Kobiashvili,Frank Rost,3.0
2005-2006,GR,Rosenborg,Norway,8.0,2.0,2.0,4.0,10.0,14.0,-4.0,8.0,21053.0,"Daniel Braaten,Thorstein Helstad... ",Espen Johnsen,1.0
2005-2006,GR,Panathinaikos,Greece,8.0,2.0,1.0,5.0,9.0,20.0,-11.0,7.0,45000.0,"Constantinos Charalambides,Ezequiel González... ",Mario Galinović,1.0
2005-2006,GR,Lille,France,6.0,1.0,3.0,2.0,1.0,2.0,-1.0,6.0,59269.0,Milenko Ačimovič,Tony Sylva,1.0
2005-2006,GR,Porto,Portugal,6.0,1.0,2.0,3.0,8.0,9.0,-1.0,5.0,38855.0,Pepe,Vítor Baía,2.0
2005-2006,GR,Olympiacos,Greece,6.0,1.0,1.0,4.0,7.0,13.0,-6.0,4.0,30337.0,"Pantelis Kafes,Rivaldo",Antonios Nikopolidis,2.0
2005-2006,GR,Fenerbahçe,Türkiye,6.0,1.0,1.0,4.0,7.0,14.0,-7.0,4.0,44298.0,Alex,Volkan Demirel,3.0
2005-2006,GR,Sparta Prague,Czech Republic,6.0,0.0,2.0,4.0,2.0,9.0,-7.0,2.0,12382.0,"Miroslav Matušovič,Martin Petráš",Jaromír Blažek,1.0
2004-2005,W,Liverpool,England,15.0,8.0,5.0,3.0,20.0,10.0,10.0,29.0,48916.0,Luis García,Jerzy Dudek,5.0
2004-2005,F,Milan,Italy,13.0,9.0,3.0,2.0,23.0,9.0,14.0,30.0,78489.0,Hernán Crespo,Dida,6.0
2004-2005,SF,PSV Eindhoven,The Netherlands,14.0,7.0,3.0,4.0,21.0,15.0,6.0,24.0,31758.0,"DaMarcus Beasley,Phillip Cocu",Heurelho Gomes,3.0
2004-2005,SF,Chelsea,England,12.0,6.0,2.0,4.0,21.0,13.0,8.0,20.0,39254.0,Didier Drogba,Petr Čech,5.0
2004-2005,QF,Juventus,Italy,12.0,7.0,3.0,2.0,15.0,7.0,8.0,24.0,29334.0,"Pavel Nedvěd,Alessandro Del Piero... ",Gianluigi Buffon,2.0
2004-2005,QF,Inter,Italy,12.0,6.0,4.0,2.0,23.0,12.0,11.0,22.0,46356.0,Adriano,Francesco Toldo,7.0
2004-2005,QF,Lyon,France,10.0,6.0,3.0,1.0,29.0,12.0,17.0,21.0,39416.0,Sylvain Wiltord,Grégory Coupet,6.0
2004-2005,QF,Bayern Munich,Germany,10.0,5.0,1.0,4.0,20.0,13.0,7.0,16.0,54400.0,Roy Makaay,Oliver Kahn,7.0
2004-2005,R16,Real Madrid,Spain,10.0,6.0,2.0,2.0,17.0,11.0,6.0,20.0,67193.0,"Luís Figo,Raúl",Iker Casillas,4.0
2004-2005,R16,Monaco,France,10.0,6.0,0.0,4.0,19.0,7.0,12.0,18.0,15581.0,Javier Saviola,Flavio Roma,4.0
2004-2005,R16,Manchester Utd,England,10.0,5.0,2.0,3.0,19.0,12.0,7.0,17.0,66849.0,Ruud van Nistelrooy,Roy Carroll,8.0
2004-2005,R16,Leverkusen,Germany,10.0,4.0,2.0,4.0,21.0,15.0,6.0,14.0,22500.0,"Dimitar Berbatov,França... ",Hans-Jörg Butt,3.0
2004-2005,R16,Arsenal,England,8.0,3.0,4.0,1.0,13.0,9.0,4.0,13.0,35022.0,Thierry Henry,Jens Lehmann,5.0
2004-2005,R16,Barcelona,Spain,8.0,4.0,1.0,3.0,13.0,11.0,2.0,13.0,67579.0,"Samuel Eto'o,Ronaldinho",Víctor Valdés,4.0
2004-2005,R16,Werr Bremen,Germany,8.0,4.0,1.0,3.0,14.0,16.0,-2.0,13.0,36761.0,Ivan Klasnić,Andreas Reinke,5.0
2004-2005,R16,Porto,Portugal,8.0,2.0,3.0,3.0,6.0,10.0,-4.0,9.0,50005.0,Benni McCarthy,Vítor Baía,3.0
2004-2005,GR,Shakhtar,Ukraine,10.0,5.0,1.0,4.0,15.0,13.0,2.0,16.0,24780.0,"Julius Aghahowa,Matuzalém",Jan Laštůvka,2.0
2004-2005,GR,CSKA Moscow,Russia,10.0,4.0,3.0,3.0,10.0,7.0,3.0,15.0,23432.0,Sergei Semak,Igor Akinfeev,4.0
2004-2005,GR,Rosenborg,Norway,10.0,4.0,2.0,4.0,15.0,17.0,-2.0,14.0,20912.0,Thorstein Helstad,Espen Johnsen,2.0
2004-2005,GR,Maccabi Tel Aviv,Israel,10.0,4.0,2.0,4.0,9.0,12.0,-3.0,14.0,20340.0,Baruch Dego,Liran Strauber,4.0
2004-2005,GR,Dynamo Kyiv,Ukraine,8.0,4.0,1.0,3.0,14.0,10.0,4.0,13.0,78333.0,"Florin Cernat,Diogo Rincón",Oleksandr Shovkovskiy,2.0
2004-2005,GR,Olympiacos,Greece,6.0,3.0,1.0,2.0,5.0,5.0,0.0,10.0,32782.0,"Predrag Đorđević,Ioannis Okkas... ",Antonios Nikopolidis,1.0
2004-2005,GR,Panathinaikos,Greece,6.0,2.0,3.0,1.0,11.0,8.0,3.0,9.0,11959.0,Ezequiel González,Kostas Chalkias,3.0
2004-2005,GR,Fenerbahçe,Türkiye,6.0,3.0,0.0,3.0,10.0,13.0,-3.0,9.0,36701.0,Tuncay Şanlı,Rüştü Reçber,5.0
2004-2005,GR,Sparta Prague,Czech Republic,10.0,2.0,2.0,6.0,8.0,17.0,-9.0,8.0,14711.0,"Tomáš Jun,Lukáš Zelenka",Jaromír Blažek,1.0
2004-2005,GR,Valencia,Spain,6.0,2.0,1.0,3.0,6.0,10.0,-4.0,7.0,35945.0,Vicente Rodríguez,Santiago Cañizares,2.0
2004-2005,GR,Paris S-G,France,6.0,1.0,2.0,3.0,3.0,8.0,-5.0,5.0,40629.0,"Charles-Édouard Coridon,Fabrice Pancrate... ",Lionel Letizi,1.0
2004-2005,GR,Celtic,Scotland,6.0,1.0,2.0,3.0,4.0,10.0,-6.0,5.0,58740.0,"John Hartson,Stanislav Varga... ",David Marshall,1.0
2004-2005,GR,Ajax,The Netherlands,6.0,1.0,1.0,4.0,6.0,10.0,-4.0,4.0,49185.0,"Tomáš Galásek,Nicolae Mitea... ","Bogdan Lobonț,Hans Vonk...",1.0
2004-2005,GR,Anderlecht,Belgium,8.0,1.0,0.0,7.0,7.0,18.0,-11.0,3.0,21519.0,Christian Wilhelmsson,Daniel Zítka,2.0
2004-2005,GR,Roma,Italy,6.0,0.0,1.0,5.0,4.0,16.0,-12.0,1.0,19027.0,"Antonio Cassano,Vincenzo Montella... ",Ivan Pelizzoli,1.0
2003-2004,W,Porto,Portugal,13.0,7.0,6.0,1.0,20.0,12.0,8.0,27.0,45283.0,Benni McCarthy,Vítor Baía,4.0
2003-2004,F,Monaco,France,13.0,6.0,4.0,4.0,27.0,19.0,8.0,22.0,22558.0,Fernando Morientes,Flavio Roma,9.0
2003-2004,SF,Chelsea,England,14.0,8.0,4.0,2.0,21.0,10.0,11.0,28.0,38013.0,Frank Lampard,Carlo Cudicini,4.0
2003-2004,SF,La Coruña,Spain,14.0,7.0,3.0,4.0,20.0,17.0,3.0,24.0,26079.0,Albert Luque,José Molina,4.0
2003-2004,QF,Real Madrid,Spain,10.0,6.0,3.0,1.0,18.0,11.0,7.0,21.0,59429.0,Ronaldo,Iker Casillas,4.0
2003-2004,QF,Arsenal,England,10.0,5.0,2.0,3.0,16.0,11.0,5.0,17.0,35009.0,Thierry Henry,Jens Lehmann,5.0
2003-2004,QF,Milan,Italy,10.0,5.0,2.0,3.0,12.0,9.0,3.0,17.0,47132.0,"Kaká,Andriy Shevchenko",Dida,4.0
2003-2004,QF,Lyon,France,10.0,5.0,2.0,3.0,11.0,11.0,0.0,17.0,38740.0,Juninho Pernambucano,Grégory Coupet,5.0
2003-2004,R16,Manchester Utd,England,8.0,5.0,1.0,2.0,15.0,5.0,10.0,16.0,66849.0,Ruud van Nistelrooy,Tim Howard,4.0
2003-2004,R16,Loko Moscow,Russia,10.0,4.0,2.0,4.0,12.0,11.0,1.0,14.0,26750.0,Dmitri Loskov,Sergei Ovchinnikov,2.0
2003-2004,R16,Juventus,Italy,8.0,4.0,1.0,3.0,15.0,8.0,7.0,13.0,17231.0,David Trezeguet,Gianluigi Buffon,4.0
2003-2004,R16,Stuttgart,Germany,8.0,4.0,1.0,3.0,9.0,7.0,2.0,13.0,46919.0,Kevin Kurányi,Timo Hildebrand,3.0
2003-2004,R16,Sparta Prague,Czech Republic,10.0,3.0,4.0,3.0,11.0,13.0,-2.0,13.0,17994.0,Karel Poborský,Jaromír Blažek,2.0
2003-2004,R16,Celta Vigo,Spain,10.0,3.0,3.0,4.0,12.0,13.0,-1.0,12.0,20803.0,José Ignacio,José Manuel Pinto,2.0
2003-2004,R16,Bayern Munich,Germany,8.0,2.0,4.0,2.0,7.0,7.0,0.0,10.0,54500.0,Roy Makaay,Oliver Kahn,5.0
2003-2004,R16,Real Sociedad,Spain,8.0,2.0,3.0,3.0,8.0,10.0,-2.0,9.0,29148.0,Darko Kovačević,Sander Westerveld,2.0
2003-2004,GR,Celtic,Scotland,10.0,6.0,1.0,3.0,18.0,7.0,11.0,19.0,58941.0,Chris Sutton,Magnus Hedman,3.0
2003-2004,GR,Anderlecht,Belgium,10.0,5.0,2.0,3.0,11.0,9.0,2.0,17.0,22053.0,Aruna Dindane,Daniel Zítka,2.0
2003-2004,GR,Dynamo Kyiv,Ukraine,8.0,4.0,1.0,3.0,13.0,9.0,4.0,13.0,79250.0,Diogo Rincón,Oleksandr Shovkovskiy,3.0
2003-2004,GR,Galatasaray,Türkiye,8.0,4.0,1.0,3.0,12.0,8.0,4.0,13.0,47929.0,Hakan Şükür,Faryd Mondragón,5.0
2003-2004,GR,Lazio,Italy,8.0,3.0,2.0,3.0,10.0,11.0,-1.0,11.0,32670.0,Simone Inzaghi,Angelo Peruzzi,3.0
2003-2004,GR,Club Brugge,Belgium,8.0,3.0,2.0,3.0,8.0,9.0,-1.0,11.0,27505.0,Rune Lange,Dany Verlinden,2.0
2003-2004,GR,PSV Eindhoven,The Netherlands,6.0,3.0,1.0,2.0,8.0,7.0,1.0,10.0,28167.0,"Wilfred Bouma,John de Jong... ",Ronald Waterreus,2.0
2003-2004,GR,Ajax,The Netherlands,8.0,3.0,1.0,4.0,9.0,9.0,0.0,10.0,49365.0,Wesley Sonck,Bogdan Lobonț,4.0
2003-2004,GR,Marseille,France,8.0,2.0,2.0,4.0,10.0,11.0,-1.0,8.0,54935.0,Didier Drogba,Vedran Runje,5.0
2003-2004,GR,Inter,Italy,6.0,2.0,2.0,2.0,8.0,11.0,-3.0,8.0,34033.0,"Daniele Adani,Christian Vieri",Francesco Toldo,2.0
2003-2004,GR,Partizan,Serbia,10.0,1.0,5.0,4.0,7.0,12.0,-5.0,8.0,31441.0,Andrija Delibašić,Đorđe Pantić,3.0
2003-2004,GR,Rangers,Scotland,8.0,2.0,2.0,4.0,7.0,12.0,-5.0,8.0,48425.0,"Emerson,Michael Mols... ",Stefan Klos,1.0
2003-2004,GR,Beşiktaş,Türkiye,6.0,2.0,1.0,3.0,5.0,7.0,-2.0,7.0,31379.0,"Daniel Pancu,Sergen Yalçın",Óscar Córdoba,2.0
2003-2004,GR,AEK Athens,Greece,8.0,1.0,2.0,5.0,4.0,13.0,-9.0,5.0,10238.0,Vasilios Tsiartas,Chrisostomos Michailidis,1.0
2003-2004,GR,Olympiacos,Greece,6.0,1.0,1.0,4.0,6.0,13.0,-7.0,4.0,13005.0,"Nery Castillo,Ieroklis Stoltidis",Fanis Katergiannakis,2.0
2003-2004,GR,Panathinaikos,Greece,6.0,1.0,1.0,4.0,5.0,13.0,-8.0,4.0,9469.0,Michalis Konstantinou,Antonios Nikopolidis,2.0
