Season,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
2008-2009,Quarter-finals,Tue,2009-04-14,Chelseaeng,4–4,engLiverpool,Stamford Bridge,Medina Cantalejo,Match Report,Leg 2 of 2; Chelsea won
2008-2009,Quarter-finals,Tue,2009-04-14,Bayern Munichde,1–1,esBarcelona,Fußball Arena München,Roberto Rosetti,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Quarter-finals,Wed,2009-04-15,Portopt,0–1,engManchester Utd,Estádio do Dragão,Massimo Busacca,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Quarter-finals,Wed,2009-04-15,Arsenaleng,3–0,esVillarreal,Arsenal Stadium,Wolfgang Stark,Match Report,Leg 2 of 2; Arsenal won
2008-2009,Semi-finals,Tue,2009-04-28,Barcelonaes,0–0,engChelsea,Camp Nou,Wolfgang Stark,Match Report,Leg 1 of 2
2008-2009,Semi-finals,Wed,2009-04-29,Manchester Utdeng,1–0,engArsenal,Old Trafford,Claus Bo Larsen,Match Report,Leg 1 of 2
2008-2009,Semi-finals,Tue,2009-05-05,Arsenaleng,1–3,engManchester Utd,Arsenal Stadium,Roberto Rosetti,Match Report,Leg 2 of 2; Manchester Utd won
2008-2009,Semi-finals,Wed,2009-05-06,Chelseaeng,1–1,esBarcelona,Stamford Bridge,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Barcelona won
2008-2009,Final,Wed,2009-05-27,Barcelonaes,2–0,engManchester Utd,Stadio Olimpico (Neutral Site),Massimo Busacca,Match Report
2007-2008,Round of 16,Tue,2008-02-19,Schalke 04de,1–0,ptPorto,Arena AufSchalke,Laurent Duhamel,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,Liverpooleng,2–0,itInter,Anfield,Frank de Bleeckere,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,Romait,2–1,esReal Madrid,Stadio Olimpico,Herbert Fandel,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-02-19,Olympiacosgr,0–0,engChelsea,Stadio Georgios Karaiskakis,Konrad Plautz,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Arsenaleng,0–0,itMilan,Arsenal Stadium,Claus Bo Larsen,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Celticsct,2–3,esBarcelona,Celtic Park,Peter Fröjdfeldt,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Fenerbahçetr,3–2,esSevilla,Şükrü Saracoğlu,Florian Meyer,Match Report,Leg 1 of 2
2007-2008,Round of 16,Wed,2008-02-20,Lyonfr,1–1,engManchester Utd,Stade de Gerland,Medina Cantalejo,Match Report,Leg 1 of 2
2007-2008,Round of 16,Tue,2008-03-04,Manchester Utdeng,1–0,frLyon,Old Trafford,Roberto Rosetti,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Round of 16,Tue,2008-03-04,Sevillaes,(2)3–2(3),trFenerbahçe,Estadio Ramón Sánchez Pizjuán,Massimo Busacca,Match Report,Leg 2 of 2; Fenerbahçe won; Fenerbahçe won on penalty kicks following extra time
2007-2008,Round of 16,Tue,2008-03-04,Milanit,0–2,engArsenal,Stadio Giuseppe Meazza,Konrad Plautz,Match Report,Leg 2 of 2; Arsenal won
2007-2008,Round of 16,Tue,2008-03-04,Barcelonaes,1–0,sctCeltic,Camp Nou,Pieter Vink,Match Report,Leg 2 of 2; Barcelona won
2007-2008,Round of 16,Wed,2008-03-05,Portopt,(1)1–0(4),deSchalke 04,Estádio do Dragão,Howard Webb,Match Report,Leg 2 of 2; Schalke 04 won; Schalke 04 won on penalty kicks following extra time
2007-2008,Round of 16,Wed,2008-03-05,Chelseaeng,3–0,grOlympiacos,Stamford Bridge,Mejuto González,Match Report,Leg 2 of 2; Chelsea won
2007-2008,Round of 16,Wed,2008-03-05,Real Madrides,1–2,itRoma,Estadio Santiago Bernabéu,Kyros Vassaras,Match Report,Leg 2 of 2; Roma won
2007-2008,Round of 16,Tue,2008-03-11,Interit,0–1,engLiverpool,Stadio Giuseppe Meazza,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Liverpool won
2007-2008,Quarter-finals,Tue,2008-04-01,Schalke 04de,0–1,esBarcelona,Arena AufSchalke,Kyros Vassaras,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Tue,2008-04-01,Romait,0–2,engManchester Utd,Stadio Olimpico,Frank de Bleeckere,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Wed,2008-04-02,Arsenaleng,1–1,engLiverpool,Arsenal Stadium,Pieter Vink,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Wed,2008-04-02,Fenerbahçetr,2–1,engChelsea,Şükrü Saracoğlu,Claus Bo Larsen,Match Report,Leg 1 of 2
2007-2008,Quarter-finals,Tue,2008-04-08,Chelseaeng,2–0,trFenerbahçe,Stamford Bridge,Herbert Fandel,Match Report,Leg 2 of 2; Chelsea won
2007-2008,Quarter-finals,Tue,2008-04-08,Liverpooleng,4–2,engArsenal,Anfield,Peter Fröjdfeldt,Match Report,Leg 2 of 2; Liverpool won
2007-2008,Quarter-finals,Wed,2008-04-09,Barcelonaes,1–0,deSchalke 04,Camp Nou,Roberto Rosetti,Match Report,Leg 2 of 2; Barcelona won
2007-2008,Quarter-finals,Wed,2008-04-09,Manchester Utdeng,1–0,itRoma,Old Trafford,Tom Henning Øvrebø,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Semi-finals,Tue,2008-04-22,Liverpooleng,1–1,engChelsea,Anfield,Konrad Plautz,Match Report,Leg 1 of 2
2007-2008,Semi-finals,Wed,2008-04-23,Barcelonaes,0–0,engManchester Utd,Camp Nou,Massimo Busacca,Match Report,Leg 1 of 2
2007-2008,Semi-finals,Tue,2008-04-29,Manchester Utdeng,1–0,esBarcelona,Old Trafford,Herbert Fandel,Match Report,Leg 2 of 2; Manchester Utd won
2007-2008,Semi-finals,Wed,2008-04-30,Chelseaeng,3–2,engLiverpool,Stamford Bridge,Roberto Rosetti,Match Report,Leg 2 of 2; Chelsea won; Required Extra Time
2007-2008,Final,Wed,2008-05-21,Manchester Utdeng,(6)1–1(5),engChelsea,Stadion Luzhniki (Neutral Site),Ľuboš Michel,Match Report,Manchester Utd won on penalty kicks following extra time
2006-2007,Round of 16,Tue,2007-02-20,Lillefr,0–1,engManchester Utd,Stade Félix,Eric Braamhaar,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,Real Madrides,3–2,deBayern Munich,Estadio Santiago Bernabéu,Frank de Bleeckere,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,Celticsct,0–0,itMilan,Celtic Park,Terje Hauge,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-02-20,PSV Eindhovennl,1–0,engArsenal,PSV Stadion,Tom Henning Øvrebø,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Portopt,1–1,engChelsea,Estádio do Dragão,Massimo Busacca,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Barcelonaes,1–2,engLiverpool,Camp Nou,Kyros Vassaras,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Romait,0–0,frLyon,Stadio Olimpico,Mike Riley,Match Report,Leg 1 of 2
2006-2007,Round of 16,Wed,2007-02-21,Interit,2–2,esValencia,Stadio Giuseppe Meazza,Martin Hansson,Match Report,Leg 1 of 2
2006-2007,Round of 16,Tue,2007-03-06,Chelseaeng,2–1,ptPorto,Stamford Bridge,Roberto Rosetti,Match Report,Leg 2 of 2; Chelsea won
2006-2007,Round of 16,Tue,2007-03-06,Liverpooleng,0–1,esBarcelona,Anfield,Herbert Fandel,Match Report,Leg 2 of 2; Liverpool won
2006-2007,Round of 16,Tue,2007-03-06,Valenciaes,0–0,itInter,Estadi de Mestalla,Wolfgang Stark,Match Report,Leg 2 of 2; Valencia won
2006-2007,Round of 16,Tue,2007-03-06,Lyonfr,0–2,itRoma,Stade de Gerland,Mejuto González,Match Report,Leg 2 of 2; Roma won
2006-2007,Round of 16,Wed,2007-03-07,Manchester Utdeng,1–0,frLille,Old Trafford,Medina Cantalejo,Match Report,Leg 2 of 2; Manchester Utd won
2006-2007,Round of 16,Wed,2007-03-07,Arsenaleng,1–1,nlPSV Eindhoven,Arsenal Stadium,Alain Hamer,Match Report,Leg 2 of 2; PSV Eindhoven won
2006-2007,Round of 16,Wed,2007-03-07,Bayern Munichde,2–1,esReal Madrid,Fußball Arena München,Ľuboš Michel,Match Report,Leg 2 of 2; Bayern Munich won
2006-2007,Round of 16,Wed,2007-03-07,Milanit,1–0,sctCeltic,Stadio Giuseppe Meazza,Konrad Plautz,Match Report,Leg 2 of 2; Milan won; Required Extra Time
2006-2007,Quarter-finals,Tue,2007-04-03,Milanit,2–2,deBayern Munich,Stadio Giuseppe Meazza,Iouri Baskakov,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Tue,2007-04-03,PSV Eindhovennl,0–3,engLiverpool,PSV Stadion,Bertrand Layec,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Wed,2007-04-04,Chelseaeng,1–1,esValencia,Stamford Bridge,Frank de Bleeckere,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Wed,2007-04-04,Romait,2–1,engManchester Utd,Stadio Olimpico,Herbert Fandel,Match Report,Leg 1 of 2
2006-2007,Quarter-finals,Tue,2007-04-10,Manchester Utdeng,7–1,itRoma,Old Trafford,Ľuboš Michel,Match Report,Leg 2 of 2; Manchester Utd won
2006-2007,Quarter-finals,Tue,2007-04-10,Valenciaes,1–2,engChelsea,Estadi de Mestalla,Kyros Vassaras,Match Report,Leg 2 of 2; Chelsea won
2006-2007,Quarter-finals,Wed,2007-04-11,Bayern Munichde,0–2,itMilan,Fußball Arena München,Mejuto González,Match Report,Leg 2 of 2; Milan won
2006-2007,Quarter-finals,Wed,2007-04-11,Liverpooleng,1–0,nlPSV Eindhoven,Anfield,Roberto Rosetti,Match Report,Leg 2 of 2; Liverpool won
2006-2007,Semi-finals,Tue,2007-04-24,Manchester Utdeng,3–2,itMilan,Old Trafford,Kyros Vassaras,Match Report,Leg 1 of 2
2006-2007,Semi-finals,Wed,2007-04-25,Chelseaeng,1–0,engLiverpool,Stamford Bridge,Markus Merk,Match Report,Leg 1 of 2
2006-2007,Semi-finals,Tue,2007-05-01,Liverpooleng,(4)1–0(1),engChelsea,Anfield,Mejuto González,Match Report,Leg 2 of 2; Liverpool won; Liverpool won on penalty kicks following extra time
2006-2007,Semi-finals,Wed,2007-05-02,Milanit,3–0,engManchester Utd,Stadio Giuseppe Meazza,Frank de Bleeckere,Match Report,Leg 2 of 2; Milan won
2006-2007,Final,Wed,2007-05-23,Milanit,2–1,engLiverpool,OAKA Spiros Louis (Neutral Site),Herbert Fandel,Match Report
2005-2006,Round of 16,Tue,2006-02-21,Benficapt,1–0,engLiverpool,Estádio do Sport Lisboa e Benfica,Konrad Plautz,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-02-21,Real Madrides,0–1,engArsenal,Estadio Santiago Bernabéu,Stefano Farina,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-02-21,Bayern Munichde,1–1,itMilan,Fußball Arena München,Frank de Bleeckere,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-02-21,PSV Eindhovennl,0–1,frLyon,PSV Stadion,Kyros Vassaras,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,Ajaxnl,2–2,itInter,Amsterdam ArenA,Wolfgang Stark,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,Rangerssct,2–2,esVillarreal,Ibrox Stadium,Éric Poulat,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,Chelseaeng,1–2,esBarcelona,Stamford Bridge,Terje Hauge,Match Report,Leg 1 of 2
2005-2006,Round of 16,Wed,2006-02-22,Werder Bremende,3–2,itJuventus,Weserstadion,Mejuto González,Match Report,Leg 1 of 2
2005-2006,Round of 16,Tue,2006-03-07,Barcelonaes,1–1,engChelsea,Camp Nou,Markus Merk,Match Report,Leg 2 of 2; Barcelona won
2005-2006,Round of 16,Tue,2006-03-07,Juventusit,2–1,deWerder Bremen,Delle Alpi,Graham Poll,Match Report,Leg 2 of 2; Juventus won
2005-2006,Round of 16,Tue,2006-03-07,Villarreales,1–1,sctRangers,Estadio El Madrigal,Alain Hamer,Match Report,Leg 2 of 2; Villarreal won
2005-2006,Round of 16,Wed,2006-03-08,Arsenaleng,0–0,esReal Madrid,Highbury,Ľuboš Michel,Match Report,Leg 2 of 2; Arsenal won
2005-2006,Round of 16,Wed,2006-03-08,Lyonfr,4–0,nlPSV Eindhoven,Stade de Gerland,Mike Riley,Match Report,Leg 2 of 2; Lyon won
2005-2006,Round of 16,Wed,2006-03-08,Milanit,4–1,deBayern Munich,Stadio Giuseppe Meazza,Valentin Ivanov,Match Report,Leg 2 of 2; Milan won
2005-2006,Round of 16,Wed,2006-03-08,Liverpooleng,0–2,ptBenfica,Anfield,Massimo De Santis,Match Report,Leg 2 of 2; Benfica won
2005-2006,Round of 16,Tue,2006-03-14,Interit,1–0,nlAjax,Stadio Giuseppe Meazza,Peter Fröjdfeldt,Match Report,Leg 2 of 2; Inter won
2005-2006,Quarter-finals,Tue,2006-03-28,Arsenaleng,2–0,itJuventus,Highbury,Peter Fröjdfeldt,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Tue,2006-03-28,Benficapt,0–0,esBarcelona,Estádio do Sport Lisboa e Benfica,Stephen Bennett,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Wed,2006-03-29,Interit,2–1,esVillarreal,Stadio Giuseppe Meazza,Alain Sars,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Wed,2006-03-29,Lyonfr,0–0,itMilan,Stade de Gerland,Konrad Plautz,Match Report,Leg 1 of 2
2005-2006,Quarter-finals,Tue,2006-04-04,Villarreales,1–0,itInter,Estadio El Madrigal,Kyros Vassaras,Match Report,Leg 2 of 2; Villarreal won
2005-2006,Quarter-finals,Tue,2006-04-04,Milanit,3–1,frLyon,Stadio Giuseppe Meazza,Terje Hauge,Match Report,Leg 2 of 2; Milan won
2005-2006,Quarter-finals,Wed,2006-04-05,Barcelonaes,2–0,ptBenfica,Camp Nou,Ľuboš Michel,Match Report,Leg 2 of 2; Barcelona won
2005-2006,Quarter-finals,Wed,2006-04-05,Juventusit,0–0,engArsenal,Delle Alpi,Herbert Fandel,Match Report,Leg 2 of 2; Arsenal won
2005-2006,Semi-finals,Tue,2006-04-18,Milanit,0–1,esBarcelona,Stadio Giuseppe Meazza,Alain Sars,Match Report,Leg 1 of 2
2005-2006,Semi-finals,Wed,2006-04-19,Arsenaleng,1–0,esVillarreal,Highbury,Konrad Plautz,Match Report,Leg 1 of 2
2005-2006,Semi-finals,Tue,2006-04-25,Villarreales,0–0,engArsenal,Estadio El Madrigal,Valentin Ivanov,Match Report,Leg 2 of 2; Arsenal won
2005-2006,Semi-finals,Wed,2006-04-26,Barcelonaes,0–0,itMilan,Camp Nou,Markus Merk,Match Report,Leg 2 of 2; Barcelona won
2005-2006,Final,Wed,2006-05-17,Barcelonaes,2–1,engArsenal,Stade de France (Neutral Site),Terje Hauge,Match Report
2004-2005,Round of 16,Tue,2005-02-22,Liverpooleng,3–1,deLeverkusen,Anfield,Kyros Vassaras,Match Report,Leg 1 of 2
2004-2005,Round of 16,Tue,2005-02-22,Real Madrides,1–0,itJuventus,Estadio Santiago Bernabéu,Ľuboš Michel,Match Report,Leg 1 of 2
2004-2005,Round of 16,Tue,2005-02-22,PSV Eindhovennl,1–0,frMonaco,PSV Stadion,Medina Cantalejo,Match Report,Leg 1 of 2
2004-2005,Round of 16,Tue,2005-02-22,Bayern Munichde,3–1,engArsenal,Olympiastadion,Kim Milton Nielsen,Match Report,Leg 1 of 2
2004-2005,Round of 16,Wed,2005-02-23,Portopt,1–1,itInter,Estádio do Dragão,Graham Poll,Match Report,Leg 1 of 2
2004-2005,Round of 16,Wed,2005-02-23,Barcelonaes,2–1,engChelsea,Camp Nou,Anders Frisk,Match Report,Leg 1 of 2
2004-2005,Round of 16,Wed,2005-02-23,Manchester Utdeng,0–1,itMilan,Old Trafford,Mejuto González,Match Report,Leg 1 of 2
2004-2005,Round of 16,Wed,2005-02-23,Werder Bremende,0–3,frLyon,Weserstadion,Frank de Bleeckere,Match Report,Leg 1 of 2
2004-2005,Round of 16,Tue,2005-03-08,Milanit,1–0,engManchester Utd,Stadio Giuseppe Meazza,Herbert Fandel,Match Report,Leg 2 of 2; Milan won
2004-2005,Round of 16,Tue,2005-03-08,Chelseaeng,4–2,esBarcelona,Stamford Bridge,Pierluigi Collina,Match Report,Leg 2 of 2; Chelsea won
2004-2005,Round of 16,Tue,2005-03-08,Lyonfr,7–2,deWerder Bremen,Stade de Gerland,Valentin Ivanov,Match Report,Leg 2 of 2; Lyon won
2004-2005,Round of 16,Wed,2005-03-09,Arsenaleng,1–0,deBayern Munich,Highbury,Massimo De Santis,Match Report,Leg 2 of 2; Bayern Munich won
2004-2005,Round of 16,Wed,2005-03-09,Juventusit,2–0,esReal Madrid,Delle Alpi,Markus Merk,Match Report,Leg 2 of 2; Juventus won; Required Extra Time
2004-2005,Round of 16,Wed,2005-03-09,Monacofr,0–2,nlPSV Eindhoven,Stade Louis II,Stephen Bennett,Match Report,Leg 2 of 2; PSV Eindhoven won
2004-2005,Round of 16,Wed,2005-03-09,Leverkusende,1–3,engLiverpool,BayArena,Alain Sars,Match Report,Leg 2 of 2; Liverpool won
2004-2005,Round of 16,Tue,2005-03-15,Interit,3–1,ptPorto,Stadio Giuseppe Meazza,Terje Hauge,Match Report,Leg 2 of 2; Inter won
2004-2005,Quarter-finals,Tue,2005-04-05,Lyonfr,1–1,nlPSV Eindhoven,Stade de Gerland,Pierluigi Collina,Match Report,Leg 1 of 2
2004-2005,Quarter-finals,Tue,2005-04-05,Liverpooleng,2–1,itJuventus,Anfield,Frank de Bleeckere,Match Report,Leg 1 of 2
2004-2005,Quarter-finals,Wed,2005-04-06,Milanit,2–0,itInter,Stadio Giuseppe Meazza,Alain Sars,Match Report,Leg 1 of 2
2004-2005,Quarter-finals,Wed,2005-04-06,Chelseaeng,4–2,deBayern Munich,Stamford Bridge,René Temmink,Match Report,Leg 1 of 2
2004-2005,Quarter-finals,Tue,2005-04-12,Bayern Munichde,3–2,engChelsea,Olympiastadion,Mejuto González,Match Report,Leg 2 of 2; Chelsea won
2004-2005,Quarter-finals,Tue,2005-04-12,Interit,0–3,itMilan,Stadio Giuseppe Meazza,Markus Merk,Match Report,Leg 2 of 2; Milan won; Match awarded to Milan
2004-2005,Quarter-finals,Wed,2005-04-13,Juventusit,0–0,engLiverpool,Delle Alpi,Valentin Ivanov,Match Report,Leg 2 of 2; Liverpool won
2004-2005,Quarter-finals,Wed,2005-04-13,PSV Eindhovennl,(4)1–1(2),frLyon,PSV Stadion,Kim Milton Nielsen,Match Report,Leg 2 of 2; PSV Eindhoven won; PSV Eindhoven won on penalty kicks following extra time
2004-2005,Semi-finals,Tue,2005-04-26,Milanit,2–0,nlPSV Eindhoven,Stadio Giuseppe Meazza,Kyros Vassaras,Match Report,Leg 1 of 2
2004-2005,Semi-finals,Wed,2005-04-27,Chelseaeng,0–0,engLiverpool,Stamford Bridge,Alain Sars,Match Report,Leg 1 of 2
2004-2005,Semi-finals,Tue,2005-05-03,Liverpooleng,1–0,engChelsea,Anfield,Ľuboš Michel,Match Report,Leg 2 of 2; Liverpool won
2004-2005,Semi-finals,Wed,2005-05-04,PSV Eindhovennl,3–1,itMilan,PSV Stadion,Terje Hauge,Match Report,Leg 2 of 2; Milan won
2004-2005,Final,Wed,2005-05-25,Milanit,(2)3–3(3),engLiverpool,Atatürk Olimpiyat Stadium (Neutral Site),Mejuto González,Match Report,Liverpool won on penalty kicks following extra time
2003-2004,Round of 16,Tue,2004-02-24,Celta Vigoes,2–3,engArsenal,Balaídos,Anders Frisk,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-02-24,Bayern Munichde,1–1,esReal Madrid,Olympiastadion,Terje Hauge,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-02-24,Sparta Praguecz,0–0,itMilan,Stadion Letná,Graham Poll,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-02-24,Loko Moscowru,2–1,frMonaco,Stadion Lokomotiv,Mejuto González,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,Portopt,2–1,engManchester Utd,Estádio do Dragão,Herbert Fandel,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,Real Sociedades,0–1,frLyon,Anoeta,Massimo De Santis,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,Stuttgartde,0–1,engChelsea,VfB Arena,Kyros Vassaras,Match Report,Leg 1 of 2
2003-2004,Round of 16,Wed,2004-02-25,La Coruñaes,1–0,itJuventus,Estadio Municipal de Riazor,Gilles Veissière,Match Report,Leg 1 of 2
2003-2004,Round of 16,Tue,2004-03-09,Lyonfr,1–0,esReal Sociedad,Stade de Gerland,Mike Riley,Match Report,Leg 2 of 2; Lyon won
2003-2004,Round of 16,Tue,2004-03-09,Manchester Utdeng,1–1,ptPorto,Old Trafford,Valentin Ivanov,Match Report,Leg 2 of 2; Porto won
2003-2004,Round of 16,Tue,2004-03-09,Juventusit,0–1,esLa Coruña,Delle Alpi,Ľuboš Michel,Match Report,Leg 2 of 2; La Coruña won
2003-2004,Round of 16,Tue,2004-03-09,Chelseaeng,0–0,deStuttgart,Stamford Bridge,Kim Milton Nielsen,Match Report,Leg 2 of 2; Chelsea won
2003-2004,Round of 16,Wed,2004-03-10,Arsenaleng,2–0,esCelta Vigo,Highbury,Pierluigi Collina,Match Report,Leg 2 of 2; Arsenal won
2003-2004,Round of 16,Wed,2004-03-10,Milanit,4–1,czSparta Prague,Stadio Giuseppe Meazza,Markus Merk,Match Report,Leg 2 of 2; Milan won
2003-2004,Round of 16,Wed,2004-03-10,Monacofr,1–0,ruLoko Moscow,Stade Louis II,Lucílio Batista,Match Report,Leg 2 of 2; Monaco won
2003-2004,Round of 16,Wed,2004-03-10,Real Madrides,1–0,deBayern Munich,Estadio Santiago Bernabéu,Urs Meier,Match Report,Leg 2 of 2; Real Madrid won
2003-2004,Quarter-finals,Tue,2004-03-23,Portopt,2–0,frLyon,Estádio do Dragão,Terje Hauge,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Tue,2004-03-23,Milanit,4–1,esLa Coruña,Stadio Giuseppe Meazza,Valentin Ivanov,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Wed,2004-03-24,Chelseaeng,1–1,engArsenal,Stamford Bridge,Mejuto González,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Wed,2004-03-24,Real Madrides,4–2,frMonaco,Estadio Santiago Bernabéu,Ľuboš Michel,Match Report,Leg 1 of 2
2003-2004,Quarter-finals,Tue,2004-04-06,Monacofr,3–1,esReal Madrid,Stade Louis II,Pierluigi Collina,Match Report,Leg 2 of 2; Monaco won
2003-2004,Quarter-finals,Tue,2004-04-06,Arsenaleng,1–2,engChelsea,Highbury,Markus Merk,Match Report,Leg 2 of 2; Chelsea won
2003-2004,Quarter-finals,Wed,2004-04-07,Lyonfr,2–2,ptPorto,Stade de Gerland,Anders Frisk,Match Report,Leg 2 of 2; Porto won
2003-2004,Quarter-finals,Wed,2004-04-07,La Coruñaes,4–0,itMilan,Estadio Municipal de Riazor,Urs Meier,Match Report,Leg 2 of 2; La Coruña won
2003-2004,Semi-finals,Tue,2004-04-20,Monacofr,3–1,engChelsea,Stade Louis II,Urs Meier,Match Report,Leg 1 of 2
2003-2004,Semi-finals,Wed,2004-04-21,Portopt,0–0,esLa Coruña,Estádio do Dragão,Markus Merk,Match Report,Leg 1 of 2
2003-2004,Semi-finals,Tue,2004-05-04,La Coruñaes,0–1,ptPorto,Estadio Municipal de Riazor,Pierluigi Collina,Match Report,Leg 2 of 2; Porto won
2003-2004,Semi-finals,Wed,2004-05-05,Chelseaeng,2–2,frMonaco,Stamford Bridge,Anders Frisk,Match Report,Leg 2 of 2; Monaco won
2003-2004,Final,Wed,2004-05-26,Monacofr,0–3,ptPorto,Arena AufSchalke (Neutral Site),Kim Milton Nielsen,Match Report
